reconstruction,time_res,extractor,recon_ms_per_frame,extractor_ms_per_frame,total_ms_per_frame,total_fps
eventCount,1.0,mixvpr,83.3563072822142,5.3,88.6563072822142,11.279513332500542
eventCount,1.0,netvlad,83.3563072822142,5.9,89.25630728221421,11.203690029861525
eventCount,1.0,cosplace,83.3563072822142,7.6,90.9563072822142,10.994289784624339
eventCount,1.0,megaloc,83.3563072822142,21.0,104.3563072822142,9.582554481308609
eventCount,0.5,mixvpr,38.5244110025196,5.3,43.8244110025196,22.818332913647303
eventCount,0.5,netvlad,38.5244110025196,5.9,44.4244110025196,22.51014650353571
eventCount,0.5,cosplace,38.5244110025196,7.6,46.1244110025196,21.680493653249552
eventCount,0.5,megaloc,38.5244110025196,21.0,59.5244110025196,16.799830240364262
eventCount,0.25,mixvpr,19.3059471469259,5.3,24.6059471469259,40.64058148336441
eventCount,0.25,netvlad,19.3059471469259,5.9,25.2059471469259,39.673176896348416
eventCount,0.25,cosplace,19.3059471469259,7.6,26.905947146925897,37.166504287668374
eventCount,0.25,megaloc,19.3059471469259,21.0,40.3059471469259,24.810234488591323
eventCount,0.1,mixvpr,8.2410790940006,5.3,13.541079094000601,73.84935816843813
eventCount,0.1,netvlad,8.2410790940006,5.9,14.1410790940006,70.71596116199176
eventCount,0.1,cosplace,8.2410790940006,7.6,15.8410790940006,63.12701262748724
eventCount,0.1,megaloc,8.2410790940006,21.0,29.2410790940006,34.19846431745299
eventCount_noPolarity,1.0,mixvpr,72.7865164825583,5.3,78.0865164825583,12.806308246870813
eventCount_noPolarity,1.0,netvlad,72.7865164825583,5.9,78.6865164825583,12.70865765447452
eventCount_noPolarity,1.0,cosplace,72.7865164825583,7.6,80.38651648255829,12.439897183714548
eventCount_noPolarity,1.0,megaloc,72.7865164825583,21.0,93.7865164825583,10.662513520117493
eventCount_noPolarity,0.5,mixvpr,36.535675961353704,5.3,41.8356759613537,23.903043921741915
eventCount_noPolarity,0.5,netvlad,36.535675961353704,5.9,42.4356759613537,23.565077669805543
eventCount_noPolarity,0.5,cosplace,36.535675961353704,7.6,44.135675961353705,22.657407600953587
eventCount_noPolarity,0.5,megaloc,36.535675961353704,21.0,57.535675961353704,17.380520577731506
eventCount_noPolarity,0.25,mixvpr,18.4570935606976,5.3,23.7570935606976,42.09269107119836
eventCount_noPolarity,0.25,netvlad,18.4570935606976,5.9,24.3570935606976,41.055801567950276
eventCount_noPolarity,0.25,cosplace,18.4570935606976,7.6,26.057093560697602,38.37726558683884
eventCount_noPolarity,0.25,megaloc,18.4570935606976,21.0,39.4570935606976,25.343985320704903
eventCount_noPolarity,0.1,mixvpr,7.5406886413795995,5.3,12.8406886413796,77.87744317524081
eventCount_noPolarity,0.1,netvlad,7.5406886413795995,5.9,13.4406886413796,74.40094973417645
eventCount_noPolarity,0.1,cosplace,7.5406886413795995,7.6,15.1406886413796,66.04719400060797
eventCount_noPolarity,0.1,megaloc,7.5406886413795995,21.0,28.5406886413796,35.03769697239029
timeSurface,1.0,mixvpr,50.183078270609,5.3,55.483078270609,18.02351331558561
timeSurface,1.0,netvlad,50.183078270609,5.9,56.083078270609,17.830690305101562
timeSurface,1.0,cosplace,50.183078270609,7.6,57.783078270609,17.306104657782548
timeSurface,1.0,megaloc,50.183078270609,21.0,71.183078270609,14.048282601637545
timeSurface,0.5,mixvpr,26.156000644797402,5.3,31.456000644797403,31.790436784766307
timeSurface,0.5,netvlad,26.156000644797402,5.9,32.0560006447974,31.195407408450286
timeSurface,0.5,cosplace,26.156000644797402,7.6,33.7560006447974,29.62436251031781
timeSurface,0.5,megaloc,26.156000644797402,21.0,47.1560006447974,21.20620888807981
timeSurface,0.25,mixvpr,15.3046511279741,5.3,20.6046511279741,48.532731458983086
timeSurface,0.25,netvlad,15.3046511279741,5.9,21.204651127974103,47.1594648723438
timeSurface,0.25,cosplace,15.3046511279741,7.6,22.9046511279741,43.65925481303977
timeSurface,0.25,megaloc,15.3046511279741,21.0,36.3046511279741,27.54468005972553
timeSurface,0.1,mixvpr,7.445074899299001,5.3,12.745074899299,78.46168091605344
timeSurface,0.1,netvlad,7.445074899299001,5.9,13.345074899299,74.93401180180179
timeSurface,0.1,cosplace,7.445074899299001,7.6,15.045074899299,66.46693397628704
timeSurface,0.1,megaloc,7.445074899299001,21.0,28.445074899299,35.155470799081776
e2vid,1.0,mixvpr,140.6961927526951,5.3,145.99619275269512,6.849493682988797
e2vid,1.0,netvlad,140.6961927526951,5.9,146.59619275269512,6.821459556504173
e2vid,1.0,cosplace,140.6961927526951,7.6,148.2961927526951,6.743261451544083
e2vid,1.0,megaloc,140.6961927526951,21.0,161.6961927526951,6.184437511954544
e2vid,0.5,mixvpr,36.2344254291124,5.3,41.534425429112396,24.076413473125307
e2vid,0.5,netvlad,36.2344254291124,5.9,42.1344254291124,23.733562041386215
e2vid,0.5,cosplace,36.2344254291124,7.6,43.8344254291124,22.813119830147365
e2vid,0.5,megaloc,36.2344254291124,21.0,57.2344254291124,17.472002077465568
e2vid,0.25,mixvpr,22.8432705518416,5.3,28.1432705518416,35.5324729639343
e2vid,0.25,netvlad,22.8432705518416,5.9,28.743270551841597,34.790752089133065
e2vid,0.25,cosplace,22.8432705518416,7.6,30.4432705518416,32.847981897907715
e2vid,0.25,megaloc,22.8432705518416,21.0,43.8432705518416,22.808517417001774
