reconstruction,time_res,feature_extractor,dataset,ref_seq,qry_seq,repeats,mean_recon_total_s,std_recon_total_s,mean_recon_per_frame_s,mean_qry_frames,n_rows_collapsed,ms_per_frame,fps
eventCount,1.0,mixvpr,Brisbane,night,morning,1,49.5970028329175,0.0,0.0833563072822142,595.0,4,83.3563072822142,11.996692663152206
eventCount,0.5,mixvpr,Brisbane,night,morning,1,45.8825735040009,0.0,0.0385244110025196,1191.0,4,38.5244110025196,25.95756752607061
eventCount,0.25,mixvpr,Brisbane,night,morning,1,46.00607205112465,0.0,0.0193059471469259,2383.0,4,19.3059471469259,51.797510497133565
eventCount,0.1,mixvpr,Brisbane,night,morning,1,49.10859032114968,0.0,0.0082410790940006,5959.0,4,8.2410790940006,121.34333241965692
eventCount_noPolarity,1.0,mixvpr,Brisbane,night,morning,1,43.3079773071222,0.0,0.0727865164825583,595.0,4,72.7865164825583,13.738808344257391
eventCount_noPolarity,0.5,mixvpr,Brisbane,night,morning,1,43.51399006997235,0.0,0.0365356759613537,1191.0,4,36.535675961353704,27.370507693843376
eventCount_noPolarity,0.25,mixvpr,Brisbane,night,morning,1,43.98325395514257,0.0,0.0184570935606976,2383.0,4,18.4570935606976,54.17971126989315
eventCount_noPolarity,0.1,mixvpr,Brisbane,night,morning,1,44.93496361398138,0.0,0.0075406886413796,5959.0,4,7.5406886413795995,132.61388283723724
timeSurface,1.0,mixvpr,Brisbane,night,morning,1,29.858931571012363,0.0,0.050183078270609,595.0,4,50.183078270609,19.927035854746986
timeSurface,0.5,mixvpr,Brisbane,night,morning,1,31.151796767953783,0.0,0.0261560006447974,1191.0,4,26.156000644797402,38.23214464551202
timeSurface,0.25,mixvpr,Brisbane,night,morning,1,36.47098363796249,0.0,0.0153046511279741,2383.0,4,15.3046511279741,65.33961418906067
timeSurface,0.1,mixvpr,Brisbane,night,morning,1,44.36520132492296,0.0,0.007445074899299,5959.0,4,7.445074899299001,134.31698317691286
e2vid,1.0,mixvpr,Brisbane,night,morning,1,83.7142346878536,0.0,0.1406961927526951,595.0,4,140.6961927526951,7.1075128646709205
e2vid,0.5,mixvpr,Brisbane,night,morning,1,43.15520068607293,0.0,0.0362344254291124,1191.0,4,36.2344254291124,27.598064220898454
e2vid,0.25,mixvpr,Brisbane,night,morning,1,54.43551372503862,0.0,0.0228432705518416,2383.0,4,22.8432705518416,43.77656858419431
e2vid,0.1,mixvpr,Brisbane,night,morning,1,86.47279164707288,0.0,0.0145112924395155,5959.0,4,14.5112924395155,68.91184945573241
