ref_name,qry_name,ensemble_over,vpr_methods,recon_methods,time_strs,seqLen,recall@1
sunset1,night,patch,megaloc,timeSurface,1.0,10,0.2235294117647059
R0_FN0,R0_FS0,vpr,"mixvpr,megaloc,cosplace,netvlad",e2vid,0.25,10,0.3263736263736264
R0_FA0,R0_FS0,patch,megaloc,e2vid,0.5,10,0.6736263736263737
R0_FA0,R0_FN0,patch,mixvpr,eventCount_noPolarity,1.0,10,0.19460067491563554
R0_FA0,R0_FN0,patch,mixvpr,eventCount,0.5,10,0.23959505061867267
R0_FA0,R0_FN0,patch,megaloc,eventCount,0.25,10,0.38245219347581555
R0_FA0,R0_FS0,patch,mixvpr,timeSurface,0.25,10,0.6725274725274726
R0_FA0,R0_FS0,patch,mixvpr,e2vid,1.0,10,0.6648351648351648
R0_FA0,R0_FS0,patch,netvlad,timeSurface,1.0,10,0.6901098901098901
R0_FN0,R0_FS0,vpr,"mixvpr,megaloc,cosplace,netvlad",e2vid,0.5,10,0.27692307692307694
R0_FA0,R0_FS0,patch,megaloc,eventCount,1.0,10,0.5274725274725275
R0_FA0,R0_FN0,patch,mixvpr,e2vid,0.25,10,0.2857142857142857
R0_FA0,R0_FS0,patch,netvlad,eventCount_noPolarity,0.5,10,0.6043956043956044
R0_FA0,R0_FS0,patch,cosplace,eventCount_noPolarity,1.0,10,0.5010989010989011
R0_FA0,R0_FS0,vpr,"mixvpr,megaloc,cosplace,netvlad",e2vid,0.25,10,0.7142857142857143
R0_FA0,R0_FN0,vpr,"mixvpr,megaloc,cosplace,netvlad",timeSurface,0.5,10,0.33970753655793023
R0_FA0,R0_FN0,recon,mixvpr,"e2vid,eventCount,eventCount_noPolarity,timeSurface",1.0,10,0.27896512935883017
R0_FA0,R0_FS0,patch,cosplace,eventCount,0.5,10,0.5681318681318681
R0_FA0,R0_FS0,vpr,"mixvpr,megaloc,cosplace,netvlad",eventCount_noPolarity,1.0,10,0.5439560439560439
R0_FA0,R0_FS0,vpr,"mixvpr,megaloc,cosplace,netvlad",eventCount,0.5,10,0.6582417582417582
R0_FA0,R0_FS0,time,megaloc,e2vid,"0.1,0.25,0.5,1.0",10,0.7
R0_FA0,R0_FN0,vpr,"mixvpr,megaloc,cosplace,netvlad",eventCount_noPolarity,0.25,10,0.32845894263217096
R0_FA0,R0_FS0,patch,netvlad,eventCount,0.25,10,0.6428571428571429
R0_FA0,R0_FN0,recon,netvlad,"e2vid,eventCount,eventCount_noPolarity,timeSurface",0.25,10,0.2677165354330709
R0_FA0,R0_FS0,patch,cosplace,e2vid,0.25,10,0.6846153846153846
R0_FA0,R0_FS0,recon,netvlad,"e2vid,eventCount,eventCount_noPolarity,timeSurface",1.0,10,0.6527472527472528
R0_FA0,R0_FS0,time,cosplace,eventCount,"0.1,0.25,0.5,1.0",10,0.6120879120879121
R0_FA0,R0_FS0,time,netvlad,eventCount_noPolarity,"0.1,0.25,0.5,1.0",10,0.5681318681318681
R0_FA0,R0_FS0,recon,cosplace,"e2vid,eventCount,eventCount_noPolarity,timeSurface",0.5,10,0.6626373626373626
R0_FA0,R0_FN0,time,megaloc,timeSurface,"0.1,0.25,0.5,1.0",10,0.3014623172103487
R0_FA0,R0_FN0,patch,megaloc,e2vid,0.1,10,0.19572553430821146
R0_FA0,R0_FN0,time,netvlad,e2vid,"0.1,0.25,0.5,1.0",10,0.14960629921259844
R0_FA0,R0_FN0,vpr,"mixvpr,megaloc,cosplace,netvlad",eventCount,0.1,10,0.4184476940382452
R0_FA0,R0_FS0,patch,netvlad,e2vid,0.1,10,0.6527472527472528
R0_FA0,R0_FS0,recon,megaloc,"e2vid,eventCount,eventCount_noPolarity,timeSurface",0.25,10,0.7153846153846154
R0_FA0,R0_FN0,recon,cosplace,"e2vid,eventCount,eventCount_noPolarity,timeSurface",0.1,10,0.27334083239595053
R0_FA0,R0_FS0,patch,megaloc,timeSurface,0.1,10,0.676923076923077
R0_FA0,R0_FS0,patch,mixvpr,eventCount_noPolarity,0.1,10,0.6197802197802198
R0_FA0,R0_FS0,recon,mixvpr,"e2vid,eventCount,eventCount_noPolarity,timeSurface",0.1,10,0.6593406593406593
R0_FA0,R0_FN0,patch,cosplace,eventCount,0.1,10,0.25646794150731156
