ref_name,qry_name,ensemble_over,vpr_methods,recon_methods,time_strs,seqLen,recall@1_mean,recall@1_max,recall@1_median,recall@1_individual,avg_disagreement
R0_FA0,R0_FS0,recon,mixvpr,"e2vid,eventCount,eventCount_noPolarity,timeSurface",0.1,10,0.6586169045005489,0.605927552140505,0.6443468715697036,"[0.6223929747530187, 0.5455543358946213, 0.5126234906695939, 0.5246981339187706]",0.04487525299191475
R0_FA0,R0_FN0,recon,mixvpr,"e2vid,eventCount,eventCount_noPolarity,timeSurface",0.1,10,0.302247191011236,0.23146067415730337,0.29775280898876405,"[0.1348314606741573, 0.22808988764044943, 0.21460674157303372, 0.20449438202247192]",0.044548843055963516
R0_FN0,R0_FS0,recon,mixvpr,"e2vid,eventCount,eventCount_noPolarity,timeSurface",0.1,10,0.33040614709110866,0.24807903402854006,0.32491767288693746,"[0.15477497255762898, 0.2283205268935236, 0.2261251372118551, 0.21734357848518113]",0.043369922786951065
R0_RA0,R0_RN0,recon,mixvpr,"e2vid,eventCount,eventCount_noPolarity,timeSurface",0.1,10,0.2390139335476956,0.18220793140407288,0.2357984994640943,"[0.12111468381564845, 0.1714898177920686, 0.15219721329046088, 0.1564844587352626]",0.04403043910861015
R0_RS0,R0_RN0,recon,mixvpr,"e2vid,eventCount,eventCount_noPolarity,timeSurface",0.1,10,0.30439442658092175,0.24758842443729903,0.2904608788853162,"[0.1639871382636656, 0.22508038585209003, 0.20257234726688103, 0.21543408360128619]",0.04606903716921806
R0_FA0,R0_FS0,recon,mixvpr,"e2vid,eventCount,eventCount_noPolarity,timeSurface",0.25,10,0.6761800219538968,0.5949506037321625,0.6465422612513722,"[0.5982436882546652, 0.4994511525795829, 0.42041712403951703, 0.5192096597145993]",0.054982367902994156
R0_FA0,R0_FS0,recon,mixvpr,"e2vid,eventCount,eventCount_noPolarity,timeSurface",0.5,10,0.6465422612513722,0.5938529088913282,0.6344676180021954,"[0.5894621295279913, 0.5323819978046103, 0.3743139407244786, 0.54006586169045]",0.06258567422628403
R0_FA0,R0_FS0,recon,mixvpr,"e2vid,eventCount,eventCount_noPolarity,timeSurface",1.0,10,0.6681318681318681,0.5868131868131868,0.6659340659340659,"[0.5758241758241758, 0.5186813186813187, 0.33516483516483514, 0.5725274725274725]",0.06680336594581604
R0_FA0,R0_FS0,recon,megaloc,"e2vid,eventCount,eventCount_noPolarity,timeSurface",0.1,10,0.6926454445664105,0.6487376509330406,0.7003293084522503,"[0.6333699231613611, 0.6564215148188803, 0.6410537870472008, 0.6355653128430296]",0.02701602131128311
R0_FA0,R0_FS0,recon,megaloc,"e2vid,eventCount,eventCount_noPolarity,timeSurface",0.25,10,0.7145993413830956,0.6575192096597146,0.6992316136114161,"[0.6399560922063666, 0.575192096597146, 0.5949506037321625, 0.6125137211855104]",0.030152156949043274
R0_FA0,R0_FS0,recon,megaloc,"e2vid,eventCount,eventCount_noPolarity,timeSurface",0.5,10,0.7069154774972558,0.6750823271130626,0.6948408342480791,"[0.6641053787047201, 0.4961580680570801, 0.47200878155872666, 0.5883644346871569]",0.032495055347681046
R0_FA0,R0_FS0,recon,megaloc,"e2vid,eventCount,eventCount_noPolarity,timeSurface",1.0,10,0.689010989010989,0.6626373626373626,0.6648351648351648,"[0.6527472527472528, 0.3945054945054945, 0.34065934065934067, 0.6285714285714286]",0.03564281389117241
R0_FA0,R0_FS0,recon,cosplace,"e2vid,eventCount,eventCount_noPolarity,timeSurface",0.1,10,0.6849615806805708,0.6695938529088913,0.6695938529088913,"[0.6542261251372119, 0.5927552140504939, 0.5642151481888035, 0.6037321624588364]",0.2334243506193161
R0_FA0,R0_FS0,recon,cosplace,"e2vid,eventCount,eventCount_noPolarity,timeSurface",0.25,10,0.6849615806805708,0.6575192096597146,0.672886937431394,"[0.6421514818880352, 0.54006586169045, 0.5214050493962679, 0.5872667398463227]",0.23448465764522552
R0_FA0,R0_FS0,recon,cosplace,"e2vid,eventCount,eventCount_noPolarity,timeSurface",0.5,10,0.6619099890230515,0.5883644346871569,0.6355653128430296,"[0.6344676180021954, 0.48737650933040616, 0.43249176728869376, 0.5455543358946213]",0.22584252059459686
R0_FA0,R0_FS0,recon,cosplace,"e2vid,eventCount,eventCount_noPolarity,timeSurface",1.0,10,0.6505494505494506,0.5637362637362637,0.6142857142857143,"[0.5879120879120879, 0.44285714285714284, 0.38571428571428573, 0.5956043956043956]",0.2045479267835617
R0_FA0,R0_FS0,recon,netvlad,"e2vid,eventCount,eventCount_noPolarity,timeSurface",0.1,10,0.6520307354555434,0.5675082327113062,0.6421514818880352,"[0.5532381997804611, 0.5049396267837541, 0.3809001097694841, 0.4522502744237102]",0.08602718263864517
R0_FA0,R0_FS0,recon,netvlad,"e2vid,eventCount,eventCount_noPolarity,timeSurface",0.25,10,0.6608122941822173,0.5433589462129528,0.6432491767288694,"[0.531284302963776, 0.43029637760702527, 0.41602634467618005, 0.49176728869374314]",0.07030368596315384
