ref_name,qry_name,ensemble_over,vpr_methods,recon_methods,time_strs,seqLen,recall@1
sunset1,sunset2,recon,mixvpr,timeSurface,0.1,10,0.8831949107616187
sunset1,night,vpr,"mixvpr,megaloc,cosplace,netvlad",eventCount_noPolarity,0.5,10,0.14777497900923595
sunset1,night,patch,netvlad,eventCount_noPolarity,1.0,10,0.0773109243697479
sunset1,night,patch,cosplace,eventCount,1.0,10,0.09411764705882353
sunset1,night,patch,megaloc,e2vid,1.0,10,0.02689075630252101
sunset1,night,vpr,"mixvpr,megaloc,cosplace,netvlad",eventCount_noPolarity,1.0,10,0.19327731092436976
sunset1,night,vpr,"mixvpr,megaloc,cosplace,netvlad",e2vid,0.1,10,0.02735358281590871
sunset1,night,recon,megaloc,"e2vid,eventCount,eventCount_noPolarity,timeSurface",0.1,10,0.05990938076858533
sunset1,night,vpr,"mixvpr,megaloc,cosplace,netvlad",timeSurface,0.1,10,0.05386809867427421
sunset1,night,vpr,"mixvpr,megaloc,cosplace,netvlad",e2vid,0.25,10,0.08938313050776332
sunset1,night,patch,megaloc,timeSurface,1.0,10,0.2235294117647059
sunset1,night,vpr,"mixvpr,megaloc,cosplace,netvlad",timeSurface,0.25,10,0.13596307175828787
sunset1,night,recon,megaloc,"e2vid,eventCount,eventCount_noPolarity,timeSurface",0.25,10,0.1384809064204784
sunset1,night,patch,netvlad,e2vid,1.0,10,0.04873949579831933
sunset1,night,vpr,"mixvpr,megaloc,cosplace,netvlad",e2vid,0.5,10,0.15197313182199831
sunset1,night,vpr,"mixvpr,megaloc,cosplace,netvlad",e2vid,1.0,10,0.1815126050420168
sunset1,night,vpr,"mixvpr,megaloc,cosplace,netvlad",timeSurface,0.5,10,0.22502099076406382
sunset1,night,recon,megaloc,"e2vid,eventCount,eventCount_noPolarity,timeSurface",0.5,10,0.21914357682619648
sunset1,night,patch,netvlad,timeSurface,1.0,10,0.12941176470588237
sunset1,night,vpr,"mixvpr,megaloc,cosplace,netvlad",timeSurface,1.0,10,0.32605042016806723
sunset1,night,recon,megaloc,"e2vid,eventCount,eventCount_noPolarity,timeSurface",1.0,10,0.30084033613445377
sunset1,night,patch,megaloc,eventCount,1.0,10,0.18487394957983194
sunset1,night,patch,cosplace,eventCount_noPolarity,1.0,10,0.07563025210084033
sunset1,morning,vpr,"mixvpr,megaloc,cosplace,netvlad",timeSurface,0.5,10,0.9188503803888419
sunset1,morning,vpr,"mixvpr,megaloc,cosplace,netvlad",timeSurface,1.0,10,0.8967851099830795
sunset1,morning,patch,mixvpr,e2vid,1.0,10,0.8815566835871405
sunset1,morning,patch,megaloc,eventCount,1.0,10,0.8967851099830795
sunset1,morning,patch,cosplace,eventCount_noPolarity,1.0,10,0.8341793570219966
sunset1,night,vpr,"mixvpr,megaloc,cosplace,netvlad",eventCount,0.1,10,0.06393690216479275
sunset1,morning,vpr,"mixvpr,megaloc,cosplace,netvlad",e2vid,0.1,10,0.7988845698833869
sunset1,night,recon,cosplace,"e2vid,eventCount,eventCount_noPolarity,timeSurface",0.1,10,0.022151367679140794
sunset1,night,recon,mixvpr,"e2vid,eventCount,eventCount_noPolarity,timeSurface",0.1,10,0.05638529954690384
sunset1,night,patch,cosplace,e2vid,1.0,10,0.025210084033613446
sunset1,night,vpr,"mixvpr,megaloc,cosplace,netvlad",eventCount,0.25,10,0.14267729752412925
sunset1,morning,vpr,"mixvpr,megaloc,cosplace,netvlad",e2vid,0.25,10,0.8973384030418251
sunset1,night,patch,netvlad,eventCount,1.0,10,0.15126050420168066
sunset1,night,recon,cosplace,"e2vid,eventCount,eventCount_noPolarity,timeSurface",0.25,10,0.08266890474192194
sunset1,night,recon,mixvpr,"e2vid,eventCount,eventCount_noPolarity,timeSurface",0.25,10,0.18799832144355855
sunset1,night,vpr,"mixvpr,megaloc,cosplace,netvlad",eventCount,0.5,10,0.218303946263644
sunset1,morning,patch,netvlad,timeSurface,1.0,10,0.8883248730964467
sunset1,night,vpr,"mixvpr,megaloc,cosplace,netvlad",eventCount,1.0,10,0.27563025210084036
sunset1,morning,vpr,"mixvpr,megaloc,cosplace,netvlad",e2vid,0.5,10,0.9137785291631445
sunset1,morning,vpr,"mixvpr,megaloc,cosplace,netvlad",e2vid,1.0,10,0.8866328257191202
sunset1,night,recon,mixvpr,"e2vid,eventCount,eventCount_noPolarity,timeSurface",0.5,10,0.29219143576826195
sunset1,night,recon,cosplace,"e2vid,eventCount,eventCount_noPolarity,timeSurface",0.5,10,0.14021830394626364
sunset1,sunrise,recon,mixvpr,"e2vid,eventCount,eventCount_noPolarity,timeSurface",0.5,10,0.9385892116182573
sunset1,night,recon,mixvpr,"e2vid,eventCount,eventCount_noPolarity,timeSurface",1.0,10,0.3546218487394958
sunset1,night,recon,cosplace,"e2vid,eventCount,eventCount_noPolarity,timeSurface",1.0,10,0.1781512605042017
sunset1,night,patch,cosplace,timeSurface,1.0,10,0.15630252100840336
sunset1,night,patch,megaloc,eventCount_noPolarity,1.0,10,0.12605042016806722
sunset1,sunrise,recon,mixvpr,"e2vid,eventCount,eventCount_noPolarity,timeSurface",1.0,10,0.8903654485049833
sunset1,sunrise,patch,mixvpr,eventCount,1.0,10,0.8521594684385382
sunset1,sunrise,patch,megaloc,eventCount_noPolarity,1.0,10,0.8637873754152824
sunset1,sunset2,vpr,"mixvpr,megaloc,cosplace,netvlad",e2vid,0.5,10,0.9885057471264368
sunset1,sunset2,recon,megaloc,"e2vid,eventCount,eventCount_noPolarity,timeSurface",0.5,10,0.986737400530504
sunset1,sunset2,vpr,"mixvpr,megaloc,cosplace,netvlad",e2vid,1.0,10,0.9752212389380531
sunset1,sunrise,patch,cosplace,timeSurface,1.0,10,0.8554817275747508
sunset1,sunset2,recon,megaloc,"e2vid,eventCount,eventCount_noPolarity,timeSurface",1.0,10,0.968141592920354
sunset1,sunset2,patch,mixvpr,eventCount_noPolarity,1.0,10,0.9699115044247788
sunset1,morning,vpr,"mixvpr,megaloc,cosplace,netvlad",eventCount,0.1,10,0.7608585431806659
sunset1,sunset2,patch,megaloc,timeSurface,1.0,10,0.9769911504424779
sunset1,sunset2,patch,netvlad,e2vid,1.0,10,0.9716814159292035
sunset1,daytime,vpr,"mixvpr,megaloc,cosplace,netvlad",eventCount,0.5,10,0.6908665105386417
sunset1,daytime,recon,cosplace,"e2vid,eventCount,eventCount_noPolarity,timeSurface",0.5,10,0.5550351288056206
sunset1,daytime,vpr,"mixvpr,megaloc,cosplace,netvlad",eventCount,1.0,10,0.7234375
sunset1,daytime,recon,cosplace,"e2vid,eventCount,eventCount_noPolarity,timeSurface",1.0,10,0.6703125
sunset1,daytime,patch,mixvpr,timeSurface,1.0,10,0.78125
sunset1,morning,recon,cosplace,"e2vid,eventCount,eventCount_noPolarity,timeSurface",0.1,10,0.6009802264661146
sunset1,daytime,patch,cosplace,e2vid,1.0,10,0.5859375
sunset1,daytime,patch,netvlad,eventCount,1.0,10,0.640625
sunset1,morning,vpr,"mixvpr,megaloc,cosplace,netvlad",eventCount,0.25,10,0.9015631601182932
sunset1,morning,recon,mixvpr,"e2vid,eventCount,eventCount_noPolarity,timeSurface",0.1,10,0.8112219029913807
sunset1,morning,vpr,"mixvpr,megaloc,cosplace,netvlad",eventCount,0.5,10,0.9120879120879121
sunset1,morning,vpr,"mixvpr,megaloc,cosplace,netvlad",eventCount,1.0,10,0.8917089678510999
sunset1,morning,recon,cosplace,"e2vid,eventCount,eventCount_noPolarity,timeSurface",0.25,10,0.8276299112801014
sunset1,morning,recon,mixvpr,"e2vid,eventCount,eventCount_noPolarity,timeSurface",0.25,10,0.9108576256865231
sunset1,morning,recon,cosplace,"e2vid,eventCount,eventCount_noPolarity,timeSurface",0.5,10,0.871513102282333
sunset1,morning,recon,cosplace,"e2vid,eventCount,eventCount_noPolarity,timeSurface",1.0,10,0.8917089678510999
sunset1,morning,recon,mixvpr,"e2vid,eventCount,eventCount_noPolarity,timeSurface",0.5,10,0.9196956889264581
sunset1,morning,recon,mixvpr,"e2vid,eventCount,eventCount_noPolarity,timeSurface",1.0,10,0.8883248730964467
sunset1,morning,patch,mixvpr,eventCount,1.0,10,0.8883248730964467
sunset1,morning,patch,mixvpr,timeSurface,1.0,10,0.8815566835871405
sunset1,morning,patch,cosplace,e2vid,1.0,10,0.8358714043993232
sunset1,morning,patch,netvlad,eventCount,1.0,10,0.8900169204737732
sunset1,morning,patch,megaloc,eventCount_noPolarity,1.0,10,0.8544839255499154
sunset1,morning,patch,cosplace,timeSurface,1.0,10,0.856175972927242
sunset1,sunrise,vpr,"mixvpr,megaloc,cosplace,netvlad",e2vid,0.1,10,0.8613138686131386
