ref_name,qry_name,ensemble_over,vpr_methods,recon_methods,time_strs,seqLen,recall@1
R0_FA0,R0_FS0,vpr,"mixvpr,megaloc,cosplace,netvlad",timeSurface,1.0,10,0.7296703296703296
R0_FA0,R0_FS0,vpr,"mixvpr,megaloc,cosplace,netvlad",eventCount_noPolarity,0.5,10,0.5967032967032967
R0_FA0,R0_FS0,recon,megaloc,"e2vid,eventCount,eventCount_noPolarity,timeSurface",0.1,10,0.6934065934065934
R0_FA0,R0_FS0,vpr,"mixvpr,megaloc,cosplace,netvlad",eventCount_noPolarity,1.0,10,0.5439560439560439
R0_FA0,R0_FS0,recon,mixvpr,"e2vid,eventCount,eventCount_noPolarity,timeSurface",0.1,10,0.6593406593406593
R0_FA0,R0_FS0,time,mixvpr,timeSurface,"0.1,0.25,0.5,1.0",10,0.6472527472527473
R0_FA0,R0_FS0,recon,megaloc,"e2vid,eventCount,eventCount_noPolarity,timeSurface",0.25,10,0.7153846153846154
R0_FA0,R0_FS0,recon,mixvpr,"e2vid,eventCount,eventCount_noPolarity,timeSurface",0.25,10,0.676923076923077
R0_FA0,R0_FS0,patch,mixvpr,e2vid,0.5,10,0.6934065934065934
R0_FA0,R0_FS0,time,cosplace,e2vid,"0.1,0.25,0.5,1.0",10,0.6923076923076923
R0_FA0,R0_FS0,recon,megaloc,"e2vid,eventCount,eventCount_noPolarity,timeSurface",0.5,10,0.7076923076923077
R0_FA0,R0_FS0,time,megaloc,e2vid,"0.1,0.25,0.5,1.0",10,0.7
R0_FA0,R0_FS0,recon,mixvpr,"e2vid,eventCount,eventCount_noPolarity,timeSurface",0.5,10,0.6472527472527473
R0_FA0,R0_FS0,recon,megaloc,"e2vid,eventCount,eventCount_noPolarity,timeSurface",1.0,10,0.689010989010989
R0_FA0,R0_FS0,time,cosplace,eventCount,"0.1,0.25,0.5,1.0",10,0.6120879120879121
R0_FA0,R0_FS0,patch,mixvpr,e2vid,1.0,10,0.6989010989010989
R0_FA0,R0_FS0,patch,mixvpr,eventCount,1.0,10,0.6252747252747253
R0_FA0,R0_FS0,recon,mixvpr,"e2vid,eventCount,eventCount_noPolarity,timeSurface",1.0,10,0.6681318681318681
R0_FA0,R0_FS0,time,megaloc,eventCount,"0.1,0.25,0.5,1.0",10,0.6780219780219781
R0_FA0,R0_FS0,time,cosplace,eventCount_noPolarity,"0.1,0.25,0.5,1.0",10,0.5516483516483517
R0_FA0,R0_FS0,recon,cosplace,"e2vid,eventCount,eventCount_noPolarity,timeSurface",0.1,10,0.6857142857142857
R0_FA0,R0_FS0,patch,mixvpr,eventCount,0.1,10,0.676923076923077
R0_FA0,R0_FS0,patch,mixvpr,eventCount_noPolarity,0.1,10,0.6450549450549451
R0_FA0,R0_FS0,time,megaloc,eventCount_noPolarity,"0.1,0.25,0.5,1.0",10,0.6747252747252748
R0_FA0,R0_FS0,time,cosplace,timeSurface,"0.1,0.25,0.5,1.0",10,0.6692307692307692
R0_FA0,R0_FS0,patch,mixvpr,timeSurface,0.1,10,0.6846153846153846
R0_FA0,R0_FS0,patch,megaloc,eventCount,0.5,10,0.6153846153846154
R0_FA0,R0_FS0,patch,megaloc,e2vid,0.25,10,0.7043956043956044
R0_FA0,R0_FS0,patch,mixvpr,eventCount,0.25,10,0.6681318681318681
R0_FA0,R0_FS0,patch,megaloc,eventCount_noPolarity,1.0,10,0.5505494505494506
R0_FA0,R0_FS0,patch,cosplace,eventCount_noPolarity,0.5,10,0.4989010989010989
R0_FA0,R0_FS0,vpr,"mixvpr,megaloc,cosplace,netvlad",timeSurface,0.1,10,0.7021978021978021
R0_FA0,R0_FS0,patch,mixvpr,eventCount_noPolarity,0.25,10,0.6021978021978022
R0_FA0,R0_FS0,time,netvlad,e2vid,"0.1,0.25,0.5,1.0",10,0.6824175824175824
R0_FA0,R0_FS0,time,megaloc,timeSurface,"0.1,0.25,0.5,1.0",10,0.7329670329670329
R0_FA0,R0_FS0,patch,mixvpr,timeSurface,0.25,10,0.6945054945054945
R0_FA0,R0_FS0,patch,megaloc,eventCount,1.0,10,0.589010989010989
R0_FA0,R0_FS0,patch,cosplace,timeSurface,1.0,10,0.6824175824175824
R0_FA0,R0_FS0,patch,megaloc,e2vid,0.5,10,0.6846153846153846
R0_FA0,R0_FS0,patch,mixvpr,eventCount,0.5,10,0.6296703296703297
R0_FA0,R0_FS0,patch,cosplace,eventCount_noPolarity,1.0,10,0.5340659340659341
R0_FA0,R0_FS0,vpr,"mixvpr,megaloc,cosplace,netvlad",timeSurface,0.25,10,0.7021978021978021
R0_FA0,R0_FS0,vpr,"mixvpr,megaloc,cosplace,netvlad",eventCount,0.25,10,0.6901098901098901
R0_FA0,R0_FS0,patch,megaloc,timeSurface,0.1,10,0.6934065934065934
R0_FA0,R0_FS0,patch,mixvpr,eventCount_noPolarity,0.5,10,0.5098901098901099
R0_FA0,R0_FN0,vpr,"mixvpr,megaloc,cosplace,netvlad",e2vid,1.0,10,0.21372328458942633
R0_FA0,R0_FS0,vpr,"mixvpr,megaloc,cosplace,netvlad",e2vid,0.1,10,0.6956043956043956
R0_FA0,R0_FS0,patch,mixvpr,timeSurface,0.5,10,0.676923076923077
R0_FA0,R0_FS0,vpr,"mixvpr,megaloc,cosplace,netvlad",timeSurface,0.5,10,0.7076923076923077
R0_FA0,R0_FS0,patch,megaloc,e2vid,1.0,10,0.6857142857142857
R0_FA0,R0_FS0,patch,netvlad,timeSurface,0.5,10,0.7065934065934066
R0_FA0,R0_FS0,patch,netvlad,eventCount_noPolarity,0.25,10,0.6516483516483517
R0_FA0,R0_FN0,recon,mixvpr,"e2vid,eventCount,eventCount_noPolarity,timeSurface",0.5,10,0.32845894263217096
R0_FA0,R0_FS0,patch,megaloc,eventCount_noPolarity,0.1,10,0.6912087912087912
R0_FA0,R0_FN0,recon,megaloc,"e2vid,eventCount,eventCount_noPolarity,timeSurface",1.0,10,0.2980877390326209
R0_FA0,R0_FS0,patch,cosplace,timeSurface,0.1,10,0.6626373626373626
R0_FA0,R0_FS0,patch,mixvpr,eventCount_noPolarity,1.0,10,0.48131868131868133
R0_FA0,R0_FS0,patch,megaloc,timeSurface,0.25,10,0.7142857142857143
R0_FA0,R0_FN0,vpr,"mixvpr,megaloc,cosplace,netvlad",eventCount,0.1,10,0.4184476940382452
R0_FA0,R0_FS0,vpr,"mixvpr,megaloc,cosplace,netvlad",eventCount,0.5,10,0.6582417582417582
R0_FA0,R0_FS0,vpr,"mixvpr,megaloc,cosplace,netvlad",e2vid,0.25,10,0.7142857142857143
R0_FA0,R0_FS0,patch,netvlad,eventCount,0.1,10,0.6857142857142857
R0_FA0,R0_FN0,vpr,"mixvpr,megaloc,cosplace,netvlad",eventCount_noPolarity,0.1,10,0.34758155230596177
R0_FA0,R0_FS0,patch,mixvpr,timeSurface,1.0,10,0.7120879120879121
