ref_name,qry_name,ensemble_over,vpr_methods,recon_methods,time_strs,seqLen,recall@1
R0_FA0,R0_FS0,vpr,"mixvpr,megaloc,cosplace,netvlad",RGB_camera,1.0,10,0.6979405034324943
R0_FA0,R0_FS0,recon,cosplace,"RGB_camera,e2vid,eventCount,eventCount_noPolarity,timeSurface",0.5,10,0.6957715540911587
R0_FA0,R0_FN0,vpr,"mixvpr,megaloc,cosplace,netvlad",RGB_camera,1.0,10,0.680327868852459
R0_FN0,R0_FS0,recon,mixvpr,"RGB_camera,e2vid,eventCount,eventCount_noPolarity,timeSurface",0.5,10,0.29269632070291046
R0_FA0,R0_FN0,recon,megaloc,"RGB_camera,e2vid,eventCount,eventCount_noPolarity,timeSurface",0.5,10,0.283867341202923
R0_FN0,R0_FS0,vpr,"mixvpr,megaloc,cosplace,netvlad",RGB_camera,1.0,10,0.7391304347826086
R0_FA0,R0_FS0,recon,megaloc,"RGB_camera,e2vid,eventCount,eventCount_noPolarity,timeSurface",0.25,10,0.6982427237781439
R0_FA0,R0_FN0,recon,mixvpr,"RGB_camera,e2vid,eventCount,eventCount_noPolarity,timeSurface",0.25,10,0.23833614390106803
R0_RA0,R0_RN0,vpr,"mixvpr,megaloc,cosplace,netvlad",RGB_camera,1.0,10,0.5966480446927375
R0_FA0,R0_FS0,recon,megaloc,"RGB_camera,e2vid,eventCount,eventCount_noPolarity,timeSurface",0.5,10,0.728171334431631
R0_FA0,R0_FN0,recon,mixvpr,"RGB_camera,e2vid,eventCount,eventCount_noPolarity,timeSurface",0.5,10,0.28330522765598654
R0_RA0,R0_RN0,recon,netvlad,"RGB_camera,e2vid,eventCount,eventCount_noPolarity,timeSurface",0.25,10,0.1050656660412758
R0_RA0,R0_RN0,recon,netvlad,"RGB_camera,e2vid,eventCount,eventCount_noPolarity,timeSurface",0.5,10,0.13297587131367292
R0_RS0,R0_RN0,vpr,"mixvpr,megaloc,cosplace,netvlad",RGB_camera,1.0,10,0.659217877094972
R0_RS0,R0_RN0,recon,netvlad,"RGB_camera,e2vid,eventCount,eventCount_noPolarity,timeSurface",0.5,10,0.21447721179624665
R0_RS0,R0_RN0,recon,cosplace,"RGB_camera,e2vid,eventCount,eventCount_noPolarity,timeSurface",0.25,10,0.16831948539265612
R0_RS0,R0_RN0,recon,cosplace,"RGB_camera,e2vid,eventCount,eventCount_noPolarity,timeSurface",0.5,10,0.21018766756032173
R0_FN0,R0_FS0,recon,cosplace,"RGB_camera,e2vid,eventCount,eventCount_noPolarity,timeSurface",0.1,10,0.11827366571491324
R0_FN0,R0_FS0,recon,netvlad,"RGB_camera,e2vid,eventCount,eventCount_noPolarity,timeSurface",0.1,10,0.06907533494399297
R0_FA0,R0_FS0,recon,mixvpr,"RGB_camera,e2vid,eventCount,eventCount_noPolarity,timeSurface",0.1,10,0.5957610366791126
R0_FN0,R0_FS0,recon,megaloc,"RGB_camera,e2vid,eventCount,eventCount_noPolarity,timeSurface",0.1,10,0.12683944651877882
R0_FN0,R0_FS0,recon,netvlad,"RGB_camera,e2vid,eventCount,eventCount_noPolarity,timeSurface",0.25,10,0.13042284459088413
R0_FN0,R0_FS0,recon,cosplace,"RGB_camera,e2vid,eventCount,eventCount_noPolarity,timeSurface",0.25,10,0.16941241076331687
R0_FN0,R0_FS0,recon,netvlad,"RGB_camera,e2vid,eventCount,eventCount_noPolarity,timeSurface",0.5,10,0.17298187808896212
R0_FN0,R0_FS0,recon,cosplace,"RGB_camera,e2vid,eventCount,eventCount_noPolarity,timeSurface",0.5,10,0.22075782537067545
R0_FA0,R0_FS0,recon,netvlad,"RGB_camera,e2vid,eventCount,eventCount_noPolarity,timeSurface",0.1,10,0.5362398418625083
R0_FA0,R0_FN0,recon,netvlad,"RGB_camera,e2vid,eventCount,eventCount_noPolarity,timeSurface",0.1,10,0.07620546251545465
R0_FA0,R0_FN0,recon,cosplace,"RGB_camera,e2vid,eventCount,eventCount_noPolarity,timeSurface",0.1,10,0.07024839833651793
R0_FA0,R0_FS0,recon,mixvpr,"RGB_camera,e2vid,eventCount,eventCount_noPolarity,timeSurface",0.25,10,0.671059857221307
