traverse_name,dataset,binning_type,binning_value,num_frames,mean_displacement,std_displacement
night,Brisbane,time,0.1,5959,1.3074716819474619,0.3787509316832674
morning,Brisbane,time,0.1,5917,1.3161689313322773,0.3895588791552621
sunrise,Brisbane,time,0.1,6028,1.291642240590818,0.3487692263523814
sunset1,Brisbane,time,0.1,6395,1.2179544012031827,0.49238036327587964
sunset2,Brisbane,time,0.1,5659,1.3782187535189074,0.32760950112156295
daytime,Brisbane,time,0.1,6407,1.215953427119828,0.5063310086615226
R0_FA0,NSAVP,time,0.1,10476,0.7328910231109863,0.6164006839054891
R0_FS0,NSAVP,time,0.1,9106,0.8440108709791256,0.6619378828445663
R0_FN0,NSAVP,time,0.1,8897,0.8642276024805152,0.6263040196027518
R0_RA0,NSAVP,time,0.1,12876,0.5935723755097893,0.5954269584482064
R0_RS0,NSAVP,time,0.1,10268,0.7427594779210297,0.6584628018310548
R0_RN0,NSAVP,time,0.1,9327,0.8167659562177777,0.6694464203038314
night,Brisbane,time,0.15,3973,1.9610223973756151,0.5680520624461434
morning,Brisbane,time,0.15,3946,1.973902402973614,0.5842624275516828
sunrise,Brisbane,time,0.15,4019,1.937249148906182,0.5231107018050111
sunset1,Brisbane,time,0.15,4266,1.8262768711323623,0.7384798449094755
sunset2,Brisbane,time,0.15,3773,2.067093149295811,0.49140544254832497
daytime,Brisbane,time,0.15,4273,1.8234854820253166,0.7593008285967701
R0_FA0,NSAVP,time,0.15,6984,1.0993869344548577,0.9245910759229716
R0_FS0,NSAVP,time,0.15,6071,1.2660137315223428,0.9929078472147347
R0_FN0,NSAVP,time,0.15,5931,1.296484882878559,0.939408292487805
R0_RA0,NSAVP,time,0.15,8584,0.8903908735352976,0.893138539981294
R0_RS0,NSAVP,time,0.15,6845,1.1142459212961733,0.9876797109547805
R0_RN0,NSAVP,time,0.15,6218,1.2252125717680427,1.0041547415176129
night,Brisbane,time,0.2,2979,2.6152417275814095,0.7574622328834281
morning,Brisbane,time,0.2,2959,2.6323424826356225,0.7791203769345217
sunrise,Brisbane,time,0.2,3014,2.583436145770842,0.6975056209346115
sunset1,Brisbane,time,0.2,3199,2.435554487821775,0.9848199257277218
sunset2,Brisbane,time,0.2,2829,2.7570970595875726,0.6544105669153794
daytime,Brisbane,time,0.2,3204,2.4319108123499937,1.0126665721300712
R0_FA0,NSAVP,time,0.2,5238,1.4659141367513984,1.232772104993573
R0_FS0,NSAVP,time,0.2,4553,1.6882008029366866,1.3238266868814035
R0_FN0,NSAVP,time,0.2,4448,1.728836577483637,1.2524763385640125
R0_RA0,NSAVP,time,0.2,6438,1.1872319253834744,1.190842623796227
R0_RS0,NSAVP,time,0.2,5134,1.4856579952189675,1.3168996902112258
R0_RN0,NSAVP,time,0.2,4663,1.6338769285695436,1.3388115013130295
