ref_seq,qry_seq,reconstruction_name,vpr_method,seq_len,bin_type,binning_strategy,events_per_bin,time_res,positive_dist_thresh,patch_or_frame,seq_match_type,num_qry_frames,num_ref_frames,recall_at_1,auc,runtime,patch_rows,patch_cols
sunset1_training,night_training,e2vid,mixvpr,1,timebin,fixed,,1.0,25,patch,modified,31,23,0.7742,0.6123,32.06,1,1
sunset1_training,night_training,e2vid,mixvpr,1,timebin,fixed,,1.0,25,patch,modified,31,23,0.7097,0.4843,3.47,1,2
sunset1_training,night_training,e2vid,mixvpr,1,timebin,fixed,,1.0,25,patch,modified,31,23,0.5806,0.3405,3.96,1,3
sunset1_training,night_training,e2vid,mixvpr,1,timebin,fixed,,1.0,25,patch,modified,31,23,0.4839,0.1929,3.86,1,4
sunset1_training,night_training,e2vid,mixvpr,1,timebin,fixed,,1.0,25,patch,modified,31,23,0.3226,0.0851,3.83,1,5
sunset1_training,night_training,e2vid,mixvpr,1,timebin,fixed,,1.0,25,patch,modified,31,23,0.3871,0.1831,4.77,1,6
sunset1_training,night_training,e2vid,mixvpr,1,timebin,fixed,,1.0,25,patch,modified,31,23,0.5161,0.2345,4.18,1,7
sunset1_training,night_training,e2vid,mixvpr,1,timebin,fixed,,1.0,25,patch,modified,31,23,0.4516,0.1542,4.44,1,8
sunset1_training,night_training,e2vid,mixvpr,1,timebin,fixed,,1.0,25,patch,modified,31,23,0.4194,0.2248,4.58,1,9
sunset1_training,night_training,e2vid,mixvpr,1,timebin,fixed,,1.0,25,patch,modified,31,23,0.5806,0.4329,3.24,2,1
sunset1_training,night_training,e2vid,mixvpr,1,timebin,fixed,,1.0,25,patch,modified,31,23,0.6129,0.3867,3.67,2,2
sunset1_training,night_training,e2vid,mixvpr,1,timebin,fixed,,1.0,25,patch,modified,31,23,0.7097,0.5336,4.21,2,3
sunset1_training,night_training,e2vid,mixvpr,1,timebin,fixed,,1.0,25,patch,modified,31,23,0.7097,0.4872,4.86,2,4
sunset1_training,night_training,e2vid,mixvpr,1,timebin,fixed,,1.0,25,patch,modified,31,23,0.4516,0.1838,4.87,2,5
sunset1_training,night_training,e2vid,mixvpr,1,timebin,fixed,,1.0,25,patch,modified,31,23,0.5484,0.2537,5.07,2,6
sunset1_training,night_training,e2vid,mixvpr,1,timebin,fixed,,1.0,25,patch,modified,31,23,0.5161,0.2398,5.87,2,7
sunset1_training,night_training,e2vid,mixvpr,1,timebin,fixed,,1.0,25,patch,modified,31,23,0.6129,0.3422,6.26,2,8
sunset1_training,night_training,e2vid,mixvpr,1,timebin,fixed,,1.0,25,patch,modified,31,23,0.5161,0.2669,7.30,2,9
sunset1_training,night_training,e2vid,mixvpr,1,timebin,fixed,,1.0,25,patch,modified,31,23,0.5484,0.3777,3.61,3,1
sunset1_training,night_training,e2vid,mixvpr,1,timebin,fixed,,1.0,25,patch,modified,31,23,0.6452,0.4615,4.51,3,2
sunset1_training,night_training,e2vid,mixvpr,1,timebin,fixed,,1.0,25,patch,modified,31,23,0.6452,0.4674,5.38,3,3
sunset1_training,night_training,e2vid,mixvpr,1,timebin,fixed,,1.0,25,patch,modified,31,23,0.5806,0.3910,5.72,3,4
sunset1_training,night_training,e2vid,mixvpr,1,timebin,fixed,,1.0,25,patch,modified,31,23,0.4839,0.2784,5.88,3,5
sunset1_training,night_training,e2vid,mixvpr,1,timebin,fixed,,1.0,25,patch,modified,31,23,0.4516,0.2153,6.89,3,6
sunset1_training,night_training,e2vid,mixvpr,1,timebin,fixed,,1.0,25,patch,modified,31,23,0.3548,0.1997,7.39,3,7
sunset1_training,night_training,e2vid,mixvpr,1,timebin,fixed,,1.0,25,patch,modified,31,23,0.3871,0.1817,7.40,3,8
sunset1_training,night_training,e2vid,mixvpr,1,timebin,fixed,,1.0,25,patch,modified,31,23,0.3871,0.1990,8.34,3,9
sunset1_training,night_training,e2vid,mixvpr,1,timebin,fixed,,1.0,25,patch,modified,31,23,0.5161,0.2465,3.89,4,1
sunset1_training,night_training,e2vid,mixvpr,1,timebin,fixed,,1.0,25,patch,modified,31,23,0.3871,0.1817,4.87,4,2
sunset1_training,night_training,e2vid,mixvpr,1,timebin,fixed,,1.0,25,patch,modified,31,23,0.7419,0.5502,5.12,4,3
sunset1_training,night_training,e2vid,mixvpr,1,timebin,fixed,,1.0,25,patch,modified,31,23,0.4516,0.1764,5.93,4,4
sunset1_training,night_training,e2vid,mixvpr,1,timebin,fixed,,1.0,25,patch,modified,31,23,0.7742,0.6123,8.10,1,1
sunset1_training,morning_training,e2vid,mixvpr,1,timebin,fixed,,1.0,25,patch,modified,22,23,0.8636,0.7709,8.53,3,2
sunset1_training,night_training,e2vid,mixvpr,1,timebin,fixed,,1.0,25,patch,modified,31,23,0.6129,0.3910,13.10,6,6
sunset1_training,morning_training,e2vid,mixvpr,1,timebin,fixed,,1.0,25,patch,modified,22,23,0.7727,0.6902,14.92,8,7
sunset1_training,night_training,e2vid,mixvpr,1,timebin,fixed,,1.0,25,patch,modified,31,23,0.7097,0.4843,3.83,1,2
sunset1_training,night_training,e2vid,mixvpr,1,timebin,fixed,,1.0,25,patch,modified,31,23,0.5161,0.2759,6.94,4,5
sunset1_training,morning_training,e2vid,mixvpr,1,timebin,fixed,,1.0,25,patch,modified,22,23,0.8636,0.7911,4.93,3,3
sunset1_training,night_training,e2vid,mixvpr,1,timebin,fixed,,1.0,25,patch,modified,31,23,0.5806,0.3405,3.51,1,3
sunset1_training,morning_training,e2vid,mixvpr,1,timebin,fixed,,1.0,25,patch,modified,22,23,0.8636,0.7839,5.06,3,4
sunset1_training,night_training,e2vid,mixvpr,1,timebin,fixed,,1.0,25,patch,modified,31,23,0.4839,0.2568,10.73,6,7
sunset1_training,night_training,e2vid,mixvpr,1,timebin,fixed,,1.0,25,patch,modified,31,23,0.5484,0.2499,8.53,4,6
sunset1_training,morning_training,e2vid,mixvpr,1,timebin,fixed,,1.0,25,patch,modified,22,23,0.7727,0.6823,12.85,8,8
sunset1_training,night_training,e2vid,mixvpr,1,timebin,fixed,,1.0,25,patch,modified,31,23,0.4839,0.1929,3.68,1,4
sunset1_training,morning_training,e2vid,mixvpr,1,timebin,fixed,,1.0,25,patch,modified,22,23,0.9545,0.9079,7.23,3,5
sunset1_training,night_training,e2vid,mixvpr,1,timebin,fixed,,1.0,25,patch,modified,31,23,0.3226,0.0851,4.32,1,5
sunset1_training,night_training,e2vid,mixvpr,1,timebin,fixed,,1.0,25,patch,modified,31,23,0.4839,0.2239,12.58,6,8
sunset1_training,night_training,e2vid,mixvpr,1,timebin,fixed,,1.0,25,patch,modified,31,23,0.4516,0.1635,10.14,4,7
sunset1_training,morning_training,e2vid,mixvpr,1,timebin,fixed,,1.0,25,patch,modified,22,23,0.7727,0.6779,14.62,8,9
