ref_seq,qry_seq,reconstruction_name,vpr_method,recall_at_1,auc,seq_len,time_res,time_bin_type,positive_dist_thresh,patch_or_frame,seq_match_type,runtime
sunset1,night,e2vid,netvlad,0.03335155822854018,,1,,1,25,frame,modified,0.2823452949523926
sunset1,night,e2vid,cosplace,0.03253143794423182,,1,,1,25,frame,modified,0.3426821231842041
sunset1,night,e2vid,megaloc,0.048933843630399126,,1,,1,25,frame,modified,0.6018526554107666
sunset1,sunrise,eventCount_noPolarity,anyloc-urban,0.44224511930585686,,1,,1,25,frame,modified,0.5489048957824707
sunset1,sunrise,eventCount_noPolarity,netvlad,0.3500542299349241,,1,,1,25,frame,modified,0.4013633728027344
sunset1,sunrise,eventCount_noPolarity,megaloc,0.6390997830802603,,1,,1,25,frame,modified,0.47168874740600586
sunset1,night,eventCount,netvlad,0.07463094587206123,,1,,1,25,frame,modified,0.47542548179626465
sunset1,night,eventCount,anyloc-urban,0.07900492072170585,,1,,1,25,frame,modified,0.42299842834472656
sunset1,night,eventCount,megaloc,0.1107162383816293,,1,,1,25,frame,modified,0.2425830364227295
sunset1,night,eventCount,cosplace,0.04100601421541826,,1,,1,25,frame,modified,0.18784379959106445
sunset1,sunrise,timeSurface,anyloc-urban,0.44170281995661603,,1,,1,25,frame,modified,0.3032796382904053
sunset1,sunrise,timeSurface,megaloc,0.6927874186550976,,1,,1,25,frame,modified,0.35440850257873535
sunset1,sunrise,timeSurface,netvlad,0.44739696312364424,,1,,1,25,frame,modified,0.5492608547210693
sunset1,night,eventCount_noPolarity,cosplace,0.036905412793876435,,1,,1,25,frame,modified,0.15275788307189941
sunset1,night,eventCount_noPolarity,anyloc-urban,0.05522143247676326,,1,,1,25,frame,modified,0.20217227935791016
sunset1,night,eventCount_noPolarity,megaloc,0.09021323127392017,,1,,1,25,frame,modified,0.154296875
sunset1,night,eventCount_noPolarity,netvlad,0.03827227993439038,,1,,1,25,frame,modified,0.28146839141845703
sunset1,sunset2,e2vid,anyloc-urban,0.8786670464255198,,1,,1,25,frame,modified,0.21769022941589355
sunset1,sunset2,e2vid,megaloc,0.976929649672458,,1,,1,25,frame,modified,0.3028242588043213
sunset1,sunset2,e2vid,netvlad,0.8726858444887496,,1,,1,25,frame,modified,0.17678403854370117
sunset1,night,timeSurface,anyloc-urban,0.07271733187534171,,1,,1,25,frame,modified,0.15112829208374023
sunset1,night,timeSurface,cosplace,0.04401312192454893,,1,,1,25,frame,modified,0.14555716514587402
sunset1,night,timeSurface,megaloc,0.1016949152542373,,1,,1,25,frame,modified,0.22010254859924316
sunset1,night,timeSurface,netvlad,0.0634226353198469,,1,,1,25,frame,modified,0.2741825580596924
sunset1,sunset2,eventCount,netvlad,0.780974081458274,,1,,1,25,frame,modified,0.1645960807800293
sunset1,sunset2,eventCount,megaloc,0.9535744802050697,,1,,1,25,frame,modified,0.2704432010650635
sunset1,sunset2,eventCount,anyloc-urban,0.8393620051267445,,1,,1,25,frame,modified,0.22343969345092773
sunset1,morning,e2vid,anyloc-urban,0.4556036816459123,,1,,1,25,frame,modified,0.24514460563659668
sunset1,morning,e2vid,megaloc,0.6510557661072008,,1,,1,25,frame,modified,0.1494433879852295
sunset1,morning,e2vid,cosplace,0.41174878180833785,,1,,1,25,frame,modified,0.1418912410736084
sunset1,morning,e2vid,netvlad,0.4271792095289659,,1,,1,25,frame,modified,0.21268272399902344
sunset1,sunset2,eventCount_noPolarity,netvlad,0.7012247223013387,,1,,1,25,frame,modified,0.22542452812194824
sunset1,sunset2,eventCount_noPolarity,megaloc,0.9416120763315294,,1,,1,25,frame,modified,0.20178627967834473
sunset1,sunset2,eventCount_noPolarity,anyloc-urban,0.8197094844773569,,1,,1,25,frame,modified,0.1455366611480713
sunset1,morning,eventCount,anyloc-urban,0.45939361126150513,,1,,1,25,frame,modified,0.2836451530456543
sunset1,morning,eventCount,megaloc,0.623714131023281,,1,,1,25,frame,modified,0.15623712539672852
sunset1,morning,eventCount,netvlad,0.32160259880887926,,1,,1,25,frame,modified,0.2342824935913086
sunset1,morning,eventCount,cosplace,0.29534380075798594,,1,,1,25,frame,modified,0.17217540740966797
sunset1,sunset2,timeSurface,netvlad,0.7900882939333523,,1,,1,25,frame,modified,0.17800545692443848
sunset1,sunset2,timeSurface,megaloc,0.9521503845058388,,1,,1,25,frame,modified,0.21886825561523438
sunset1,sunset2,timeSurface,anyloc-urban,0.7707205924238109,,1,,1,25,frame,modified,0.1609358787536621
sunset1,morning,eventCount_noPolarity,cosplace,0.24634542501353546,,1,,1,25,frame,modified,0.18317747116088867
sunset1,morning,eventCount_noPolarity,netvlad,0.2550081212777477,,1,,1,25,frame,modified,0.22817444801330566
sunset1,morning,eventCount_noPolarity,anyloc-urban,0.3746616134271792,,1,,1,25,frame,modified,0.18357467651367188
sunset1,morning,eventCount_noPolarity,megaloc,0.5281537628586898,,1,,1,25,frame,modified,0.32566094398498535
sunset1,daytime,e2vid,megaloc,0.6839251829764164,,1,,1,25,frame,modified,0.25151634216308594
sunset1,daytime,e2vid,netvlad,0.3288153971265926,,1,,1,25,frame,modified,0.15333342552185059
sunset1,daytime,e2vid,anyloc-urban,0.473841149362971,,1,,1,25,frame,modified,0.20833992958068848
sunset1,sunrise,eventCount_noPolarity,cosplace,0.3096529284164859,,1,,1,25,frame,modified,0.2857491970062256
sunset1,night,e2vid,mixvpr,0.034991798797156914,,1,,1,25,frame,modified,0.17442917823791504
sunset1,sunrise,eventCount_noPolarity,mixvpr,0.5558568329718004,,1,,1,25,frame,modified,0.2148585319519043
sunset1,daytime,eventCount,netvlad,0.2827324478178368,,1,,1,25,frame,modified,0.30986738204956055
sunset1,daytime,eventCount,megaloc,0.5220927080509623,,1,,1,25,frame,modified,0.23903727531433105
sunset1,daytime,eventCount,anyloc-urban,0.4258606668473841,,1,,1,25,frame,modified,0.18196320533752441
sunset1,morning,timeSurface,netvlad,0.35571196534921495,,1,,1,25,frame,modified,0.14446640014648438
sunset1,morning,timeSurface,megaloc,0.6009745533297238,,1,,1,25,frame,modified,0.2727620601654053
sunset1,morning,timeSurface,cosplace,0.3605847319978343,,1,,1,25,frame,modified,0.15457725524902344
sunset1,morning,timeSurface,anyloc-urban,0.43746616134271793,,1,,1,25,frame,modified,0.21059274673461914
sunset1,sunrise,e2vid,cosplace,0.5949023861171366,,1,,1,25,frame,modified,0.15026068687438965
sunset1,sunrise,e2vid,megaloc,0.7589479392624728,,1,,1,25,frame,modified,0.3607804775238037
sunset1,sunrise,e2vid,netvlad,0.5244034707158352,,1,,1,25,frame,modified,0.15375804901123047
sunset1,sunrise,e2vid,anyloc-urban,0.5162689804772235,,1,,1,25,frame,modified,0.46438050270080566
sunset1,daytime,eventCount_noPolarity,netvlad,0.18324749254540526,,1,,1,25,frame,modified,0.4177095890045166
sunset1,daytime,eventCount_noPolarity,megaloc,0.46543778801843316,,1,,1,25,frame,modified,0.22659897804260254
sunset1,daytime,eventCount_noPolarity,anyloc-urban,0.3659528327460016,,1,,1,25,frame,modified,0.28324198722839355
sunset1,sunrise,timeSurface,cosplace,0.43031453362255967,,1,,1,25,frame,modified,0.1569364070892334
sunset1,sunrise,timeSurface,mixvpr,0.7307483731019523,,1,,1,25,frame,modified,0.2415299415588379
sunset1,night,eventCount,mixvpr,0.07490431930016403,,1,,1,25,frame,modified,0.27388906478881836
sunset1,sunrise,eventCount,megaloc,0.6927874186550976,,1,,1,25,frame,modified,0.2693157196044922
sunset1,sunrise,eventCount,cosplace,0.39398047722342733,,1,,1,25,frame,modified,0.19205570220947266
sunset1,sunrise,eventCount,anyloc-urban,0.504880694143167,,1,,1,25,frame,modified,0.15656590461730957
sunset1,sunrise,eventCount,netvlad,0.40997830802603036,,1,,1,25,frame,modified,0.2007617950439453
sunset1,daytime,timeSurface,megaloc,0.5798319327731093,,1,,1,25,frame,modified,0.28240084648132324
sunset1,daytime,timeSurface,anyloc-urban,0.3819463269178639,,1,,1,25,frame,modified,0.17383265495300293
sunset1,daytime,timeSurface,netvlad,0.2854432095418813,,1,,1,25,frame,modified,0.2312312126159668
sunset1,sunset2,e2vid,cosplace,0.9154087154656793,,1,,1,25,frame,modified,0.29548001289367676
sunset1,sunset2,e2vid,mixvpr,0.9840501281686129,,1,,1,25,frame,modified,0.21303105354309082
sunset1,night,eventCount_noPolarity,mixvpr,0.057135046473482776,,1,,1,25,frame,modified,0.16061735153198242
sunset1,sunset2,eventCount,mixvpr,0.9515807462261464,,1,,1,25,frame,modified,0.2137606143951416
sunset1,sunset2,eventCount,cosplace,0.6878382227285673,,1,,1,25,frame,modified,0.1425926685333252
sunset1,night,timeSurface,mixvpr,0.09130672498633133,,1,,1,25,frame,modified,0.18841552734375
sunset1,sunset2,eventCount_noPolarity,cosplace,0.6129307889490174,,1,,1,25,frame,modified,0.21161937713623047
sunset1,sunset2,eventCount_noPolarity,mixvpr,0.88464824836229,,1,,1,25,frame,modified,0.17168211936950684
sunset1,morning,e2vid,mixvpr,0.7144017325392529,,1,,1,25,frame,modified,0.16257047653198242
sunset1,sunset2,timeSurface,cosplace,0.7063514668185702,,1,,1,25,frame,modified,0.15525317192077637
sunset1,sunset2,timeSurface,mixvpr,0.96553688407861,,1,,1,25,frame,modified,0.15528416633605957
sunset1,morning,eventCount,mixvpr,0.5952896589063346,,1,,1,25,frame,modified,0.17849230766296387
sunset1,daytime,e2vid,cosplace,0.31146652209270803,,1,,1,25,frame,modified,0.15263724327087402
sunset1,daytime,e2vid,mixvpr,0.625914882081865,,1,,1,25,frame,modified,0.16602540016174316
sunset1,morning,eventCount_noPolarity,mixvpr,0.4951272333513806,,1,,1,25,frame,modified,0.157867431640625
sunset1,daytime,eventCount,cosplace,0.2586066684738412,,1,,1,25,frame,modified,0.1672039031982422
sunset1,daytime,eventCount,mixvpr,0.45540796963946867,,1,,1,25,frame,modified,0.2190876007080078
sunset1,morning,timeSurface,mixvpr,0.6670276123443422,,1,,1,25,frame,modified,0.15953755378723145
sunset1,daytime,eventCount_noPolarity,mixvpr,0.3505014909189482,,1,,1,25,frame,modified,0.19905352592468262
sunset1,daytime,eventCount_noPolarity,cosplace,0.18812686364868528,,1,,1,25,frame,modified,0.15520167350769043
sunset1,sunrise,e2vid,mixvpr,0.8028741865509761,,1,,1,25,frame,modified,0.1482985019683838
sunset1,daytime,timeSurface,mixvpr,0.5478449444293847,,1,,1,25,frame,modified,0.22206664085388184
sunset1,daytime,timeSurface,cosplace,0.2762266196801301,,1,,1,25,frame,modified,0.17237138748168945
sunset1,sunrise,eventCount,mixvpr,0.6672993492407809,,1,,1,25,frame,modified,0.15721869468688965
