ref_seq,qry_seq,reconstruction_name,vpr_method,seq_len,bin_type,binning_strategy,events_per_bin,time_res,positive_dist_thresh,patch_or_frame,seq_match_type,num_qry_frames,num_ref_frames,recall_at_1,auc,runtime
sunset1,night,eventCount,mixvpr,1,timebin,adaptive,,,25,frame,modified,3840,4066,0.0828,,0.06
sunset1,morning,eventCount,mixvpr,1,timebin,adaptive,,,25,frame,modified,3822,4066,0.6232,,0.05
sunset1,sunrise,eventCount,mixvpr,1,timebin,adaptive,,,25,frame,modified,3915,4066,0.7080,,0.06
sunset1,sunset2,eventCount,mixvpr,1,timebin,adaptive,,,25,frame,modified,3639,4066,0.9547,,0.05
sunset1,daytime,eventCount,mixvpr,1,timebin,adaptive,,,25,frame,modified,4110,4066,0.4290,,0.06
sunset1,night,eventCount_noPolarity,mixvpr,1,timebin,adaptive,,,25,frame,modified,3840,4066,0.0628,,0.05
sunset1,morning,eventCount_noPolarity,mixvpr,1,timebin,adaptive,,,25,frame,modified,3822,4066,0.4948,,0.05
sunset1,sunrise,eventCount_noPolarity,mixvpr,1,timebin,adaptive,,,25,frame,modified,3915,4066,0.6095,,0.06
sunset1,sunset2,eventCount_noPolarity,mixvpr,1,timebin,adaptive,,,25,frame,modified,3639,4066,0.8978,,0.05
sunset1,daytime,eventCount_noPolarity,mixvpr,1,timebin,adaptive,,,25,frame,modified,4110,4066,0.3363,,0.06
sunset1,night,timeSurface,mixvpr,1,timebin,adaptive,,,25,frame,modified,3840,4066,0.0805,,0.05
sunset1,morning,timeSurface,mixvpr,1,timebin,adaptive,,,25,frame,modified,3822,4066,0.6902,,0.05
sunset1,sunrise,timeSurface,mixvpr,1,timebin,adaptive,,,25,frame,modified,3915,4066,0.7750,,0.05
sunset1,sunset2,timeSurface,mixvpr,1,timebin,adaptive,,,25,frame,modified,3639,4066,0.9648,,0.05
sunset1,daytime,timeSurface,mixvpr,1,timebin,adaptive,,,25,frame,modified,4110,4066,0.5012,,0.06
sunset1,night,e2vid,mixvpr,1,timebin,adaptive,,,25,frame,modified,3840,4066,0.0182,,0.06
sunset1,morning,e2vid,mixvpr,1,timebin,adaptive,,,25,frame,modified,3822,4066,0.7514,,0.05
sunset1,sunrise,e2vid,mixvpr,1,timebin,adaptive,,,25,frame,modified,3915,4066,0.8488,,0.05
sunset1,sunset2,e2vid,mixvpr,1,timebin,adaptive,,,25,frame,modified,3639,4066,0.9874,,0.05
sunset1,daytime,e2vid,mixvpr,1,timebin,adaptive,,,25,frame,modified,4110,4066,0.6428,,0.06
sunset1,night,eventCount,netvlad,1,timebin,adaptive,,,25,frame,modified,3840,4066,0.0581,,34.74
sunset1,night,eventCount,cosplace,1,timebin,adaptive,,,25,frame,modified,3840,4066,0.0307,,44.85
sunset1,morning,eventCount,netvlad,1,timebin,adaptive,,,25,frame,modified,3822,4066,0.3038,,30.79
sunset1,morning,eventCount,cosplace,1,timebin,adaptive,,,25,frame,modified,3822,4066,0.2713,,38.26
sunset1,sunrise,eventCount,netvlad,1,timebin,adaptive,,,25,frame,modified,3915,4066,0.4271,,32.16
sunset1,night,eventCount,megaloc,1,timebin,adaptive,,,25,frame,modified,3840,4066,0.1143,,109.94
