ref_seq,qry_seq,reconstruction_name,vpr_method,seq_len,bin_type,binning_strategy,events_per_bin,time_res,positive_dist_thresh,patch_or_frame,seq_match_type,num_qry_frames,num_ref_frames,recall_at_1,auc,runtime
sunset1,night,eventCount,netvlad,1,timebin,adaptive,,,25,frame,modified,1783,1892,0.0443,,29.27
sunset1,night,eventCount,mixvpr,1,timebin,adaptive,,,25,frame,modified,1783,1892,0.0651,,32.94
sunset1,night,eventCount,cosplace,1,timebin,adaptive,,,25,frame,modified,1783,1892,0.0224,,34.94
sunset1,morning,eventCount,netvlad,1,timebin,adaptive,,,25,frame,modified,1770,1892,0.2853,,16.89
sunset1,morning,eventCount,mixvpr,1,timebin,adaptive,,,25,frame,modified,1770,1892,0.6147,,17.14
sunset1,morning,eventCount,cosplace,1,timebin,adaptive,,,25,frame,modified,1770,1892,0.3011,,17.29
sunset1,night,eventCount,megaloc,1,timebin,adaptive,,,25,frame,modified,1783,1892,0.1116,,63.57
sunset1,sunrise,eventCount,netvlad,1,timebin,adaptive,,,25,frame,modified,1810,1892,0.4061,,17.77
sunset1,sunrise,eventCount,mixvpr,1,timebin,adaptive,,,25,frame,modified,1810,1892,0.7155,,17.86
sunset1,sunrise,eventCount,cosplace,1,timebin,adaptive,,,25,frame,modified,1810,1892,0.3713,,17.94
sunset1,sunset2,eventCount,netvlad,1,timebin,adaptive,,,25,frame,modified,1694,1892,0.7739,,17.38
sunset1,sunset2,eventCount,mixvpr,1,timebin,adaptive,,,25,frame,modified,1694,1892,0.9481,,16.84
sunset1,sunset2,eventCount,cosplace,1,timebin,adaptive,,,25,frame,modified,1694,1892,0.6677,,16.98
sunset1,daytime,eventCount,netvlad,1,timebin,adaptive,,,25,frame,modified,1902,1892,0.2387,,17.60
sunset1,daytime,eventCount,mixvpr,1,timebin,adaptive,,,25,frame,modified,1902,1892,0.4038,,18.04
sunset1,daytime,eventCount,cosplace,1,timebin,adaptive,,,25,frame,modified,1902,1892,0.2040,,18.55
sunset1,morning,eventCount,megaloc,1,timebin,adaptive,,,25,frame,modified,1770,1892,0.6011,,49.47
sunset1,night,eventCount_noPolarity,netvlad,1,timebin,adaptive,,,25,frame,modified,1783,1892,0.0348,,17.63
sunset1,night,eventCount_noPolarity,mixvpr,1,timebin,adaptive,,,25,frame,modified,1783,1892,0.0415,,18.58
sunset1,night,eventCount_noPolarity,cosplace,1,timebin,adaptive,,,25,frame,modified,1783,1892,0.0146,,17.33
sunset1,morning,eventCount_noPolarity,netvlad,1,timebin,adaptive,,,25,frame,modified,1770,1892,0.2350,,16.86
sunset1,morning,eventCount_noPolarity,mixvpr,1,timebin,adaptive,,,25,frame,modified,1770,1892,0.4814,,17.40
sunset1,morning,eventCount_noPolarity,cosplace,1,timebin,adaptive,,,25,frame,modified,1770,1892,0.2390,,17.68
sunset1,sunrise,eventCount_noPolarity,netvlad,1,timebin,adaptive,,,25,frame,modified,1810,1892,0.3326,,17.32
sunset1,sunrise,eventCount_noPolarity,mixvpr,1,timebin,adaptive,,,25,frame,modified,1810,1892,0.5624,,17.27
sunset1,sunrise,eventCount_noPolarity,cosplace,1,timebin,adaptive,,,25,frame,modified,1810,1892,0.3039,,17.67
sunset1,sunrise,eventCount,megaloc,1,timebin,adaptive,,,25,frame,modified,1810,1892,0.6834,,51.18
sunset1,sunset2,eventCount_noPolarity,netvlad,1,timebin,adaptive,,,25,frame,modified,1694,1892,0.6476,,16.99
sunset1,sunset2,eventCount_noPolarity,mixvpr,1,timebin,adaptive,,,25,frame,modified,1694,1892,0.8524,,16.54
sunset1,sunset2,eventCount_noPolarity,cosplace,1,timebin,adaptive,,,25,frame,modified,1694,1892,0.5874,,16.70
sunset1,daytime,eventCount_noPolarity,netvlad,1,timebin,adaptive,,,25,frame,modified,1902,1892,0.1730,,17.57
sunset1,daytime,eventCount_noPolarity,mixvpr,1,timebin,adaptive,,,25,frame,modified,1902,1892,0.2545,,18.00
sunset1,daytime,eventCount_noPolarity,cosplace,1,timebin,adaptive,,,25,frame,modified,1902,1892,0.1504,,18.43
sunset1,night,timeSurface,netvlad,1,timebin,adaptive,,,25,frame,modified,1783,1892,0.0488,,17.38
sunset1,night,timeSurface,mixvpr,1,timebin,adaptive,,,25,frame,modified,1783,1892,0.0791,,18.37
sunset1,sunset2,eventCount,megaloc,1,timebin,adaptive,,,25,frame,modified,1694,1892,0.9404,,48.24
sunset1,night,timeSurface,cosplace,1,timebin,adaptive,,,25,frame,modified,1783,1892,0.0247,,17.54
sunset1,morning,timeSurface,netvlad,1,timebin,adaptive,,,25,frame,modified,1770,1892,0.3299,,17.01
sunset1,morning,timeSurface,mixvpr,1,timebin,adaptive,,,25,frame,modified,1770,1892,0.6989,,20.75
sunset1,morning,timeSurface,cosplace,1,timebin,adaptive,,,25,frame,modified,1770,1892,0.3463,,17.07
sunset1,sunrise,timeSurface,netvlad,1,timebin,adaptive,,,25,frame,modified,1810,1892,0.4359,,21.36
sunset1,sunrise,timeSurface,mixvpr,1,timebin,adaptive,,,25,frame,modified,1810,1892,0.7564,,16.77
sunset1,sunrise,timeSurface,cosplace,1,timebin,adaptive,,,25,frame,modified,1810,1892,0.4133,,17.65
sunset1,sunset2,timeSurface,netvlad,1,timebin,adaptive,,,25,frame,modified,1694,1892,0.7397,,16.69
sunset1,sunset2,timeSurface,mixvpr,1,timebin,adaptive,,,25,frame,modified,1694,1892,0.9622,,16.34
sunset1,daytime,eventCount,megaloc,1,timebin,adaptive,,,25,frame,modified,1902,1892,0.4390,,51.61
