ref_seq,qry_seq,reconstruction_name,vpr_method,seq_len,bin_type,binning_strategy,events_per_bin,time_res,positive_dist_thresh,patch_or_frame,seq_match_type,num_qry_frames,num_ref_frames,recall_at_1,auc,runtime
sunset1,night,eventCount,mixvpr,1,timebin,adaptive,,,25,frame,modified,3137,3355,0.0551,,36.54
sunset1,morning,eventCount,mixvpr,1,timebin,adaptive,,,25,frame,modified,3116,3355,0.6239,,0.11
sunset1,sunrise,eventCount,mixvpr,1,timebin,adaptive,,,25,frame,modified,3174,3355,0.7196,,0.12
sunset1,sunset2,eventCount,mixvpr,1,timebin,adaptive,,,25,frame,modified,3639,3355,0.9602,,0.17
sunset1,daytime,eventCount,mixvpr,1,timebin,adaptive,,,25,frame,modified,4110,3355,0.4273,,0.14
sunset1,night,eventCount_noPolarity,mixvpr,1,timebin,adaptive,,,25,frame,modified,3137,3355,0.0507,,0.34
sunset1,morning,eventCount_noPolarity,mixvpr,1,timebin,adaptive,,,25,frame,modified,3116,3355,0.4865,,0.12
sunset1,sunrise,eventCount_noPolarity,mixvpr,1,timebin,adaptive,,,25,frame,modified,3174,3355,0.5958,,0.12
sunset1,sunset2,eventCount_noPolarity,mixvpr,1,timebin,adaptive,,,25,frame,modified,3639,3355,0.9096,,0.13
sunset1,daytime,eventCount_noPolarity,mixvpr,1,timebin,adaptive,,,25,frame,modified,4110,3355,0.3251,,0.12
sunset1,night,timeSurface,mixvpr,1,timebin,adaptive,,,25,frame,modified,3137,3355,0.0752,,0.10
sunset1,morning,timeSurface,mixvpr,1,timebin,adaptive,,,25,frame,modified,3116,3355,0.7006,,0.16
sunset1,sunrise,timeSurface,mixvpr,1,timebin,adaptive,,,25,frame,modified,3174,3355,0.7917,,0.12
sunset1,sunset2,timeSurface,mixvpr,1,timebin,adaptive,,,25,frame,modified,3639,3355,0.9684,,0.12
sunset1,daytime,timeSurface,mixvpr,1,timebin,adaptive,,,25,frame,modified,4110,3355,0.4966,,0.11
sunset1,night,e2vid,mixvpr,1,timebin,adaptive,,,25,frame,modified,3137,3355,0.0220,,0.10
sunset1,morning,e2vid,mixvpr,1,timebin,adaptive,,,25,frame,modified,3116,3355,0.7535,,0.11
sunset1,sunrise,e2vid,mixvpr,1,timebin,adaptive,,,25,frame,modified,3174,3355,0.8450,,0.12
sunset1,sunset2,e2vid,mixvpr,1,timebin,adaptive,,,25,frame,modified,3639,3355,0.9857,,0.15
sunset1,daytime,e2vid,mixvpr,1,timebin,adaptive,,,25,frame,modified,4110,3355,0.6299,,0.17
sunset1,night,eventCount,netvlad,1,timebin,adaptive,,,25,frame,modified,3137,3355,0.0456,,26.10
sunset1,night,eventCount,cosplace,1,timebin,adaptive,,,25,frame,modified,3137,3355,0.0194,,33.72
sunset1,morning,eventCount,netvlad,1,timebin,adaptive,,,25,frame,modified,3116,3355,0.3100,,25.92
sunset1,morning,eventCount,cosplace,1,timebin,adaptive,,,25,frame,modified,3116,3355,0.2693,,30.63
sunset1,sunrise,eventCount,netvlad,1,timebin,adaptive,,,25,frame,modified,3174,3355,0.4118,,26.67
sunset1,sunrise,eventCount,cosplace,1,timebin,adaptive,,,25,frame,modified,3174,3355,0.3916,,31.61
sunset1,night,eventCount,megaloc,1,timebin,adaptive,,,25,frame,modified,3137,3355,0.1100,,93.45
