ref_seq,qry_seq,reconstruction_name,vpr_method,seq_len,bin_type,binning_strategy,events_per_bin,time_res,positive_dist_thresh,patch_or_frame,seq_match_type,num_qry_frames,num_ref_frames,recall_at_1,auc,runtime
R0_FA0,R0_FS0,eventCount,netvlad,1,timebin,fixed,,0.05,25,patch,modified,18213,20953,0.6163,,736.48
R0_FA0,R0_FS0,eventCount,cosplace,1,timebin,fixed,,0.05,25,patch,modified,18213,20953,0.5802,,1105.45
R0_FA0,R0_FS0,eventCount,mixvpr,1,timebin,fixed,,0.05,25,patch,modified,18213,20953,0.7460,,1142.53
R0_FA0,R0_FN0,eventCount,netvlad,1,timebin,fixed,,0.05,25,patch,modified,17794,20953,0.0906,,691.48
R0_FA0,R0_FS0,eventCount,mixvpr,1,timebin,fixed,,0.05,25,frame,modified,18213,20953,0.6731,,331.73
R0_FA0,R0_FN0,eventCount,mixvpr,1,timebin,fixed,,0.05,25,frame,modified,17794,20953,0.0955,,248.43
R0_FN0,R0_FS0,eventCount,mixvpr,1,timebin,fixed,,0.05,25,frame,modified,18213,17794,0.2564,,219.37
R0_FA0,R0_FS0,eventCount,megaloc,1,timebin,fixed,,0.05,25,patch,modified,18213,20953,0.7869,,2082.43
R0_FN0,R0_FS0,eventCount,netvlad,1,timebin,fixed,,0.05,25,patch,modified,18213,17794,0.1811,,668.75
R0_FA0,R0_FN0,eventCount,mixvpr,1,timebin,fixed,,0.05,25,patch,modified,17794,20953,0.0972,,1055.17
R0_FA0,R0_FS0,eventCount,cosplace,1,timebin,fixed,,0.05,25,frame,modified,18213,20953,0.5081,,290.94
R0_FA0,R0_FN0,eventCount,cosplace,1,timebin,fixed,,0.05,25,patch,modified,17794,20953,0.0414,,1111.87
R0_FA0,R0_FS0,eventCount,netvlad,1,timebin,fixed,,0.05,25,frame,modified,18213,20953,0.4349,,262.46
R0_RA0,R0_RN0,eventCount,mixvpr,1,timebin,fixed,,0.05,25,frame,modified,18655,25753,0.0615,,355.87
R0_FA0,R0_FN0,eventCount,cosplace,1,timebin,fixed,,0.05,25,frame,modified,17794,20953,0.0516,,213.77
R0_FA0,R0_FN0,eventCount,netvlad,1,timebin,fixed,,0.05,25,frame,modified,17794,20953,0.0609,,206.90
R0_FN0,R0_FS0,eventCount,cosplace,1,timebin,fixed,,0.05,25,frame,modified,18213,17794,0.1618,,143.63
R0_FN0,R0_FS0,eventCount,netvlad,1,timebin,fixed,,0.05,25,frame,modified,18213,17794,0.1490,,159.72
R0_RS0,R0_RN0,eventCount,mixvpr,1,timebin,fixed,,0.05,25,frame,modified,18655,20536,0.1281,,301.22
R0_RA0,R0_RN0,eventCount,cosplace,1,timebin,fixed,,0.05,25,frame,modified,18655,25753,0.0452,,275.46
R0_RA0,R0_RN0,eventCount,netvlad,1,timebin,fixed,,0.05,25,frame,modified,18655,25753,0.0415,,274.44
R0_RA0,R0_RN0,eventCount,netvlad,1,timebin,fixed,,0.05,25,patch,modified,18655,25753,0.0434,,870.48
R0_FA0,R0_FS0,eventCount_noPolarity,mixvpr,1,timebin,fixed,,0.05,25,frame,modified,18213,20953,0.6583,,308.18
R0_RS0,R0_RN0,eventCount,cosplace,1,timebin,fixed,,0.05,25,frame,modified,18655,20536,0.0613,,226.82
R0_RS0,R0_RN0,eventCount,netvlad,1,timebin,fixed,,0.05,25,frame,modified,18655,20536,0.0980,,217.06
R0_FN0,R0_FS0,eventCount,cosplace,1,timebin,fixed,,0.05,25,patch,modified,18213,17794,0.2204,,1021.52
R0_FA0,R0_FS0,eventCount,megaloc,1,timebin,fixed,,0.05,25,frame,modified,18213,20953,0.8062,,1698.00
R0_FN0,R0_FS0,eventCount,mixvpr,1,timebin,fixed,,0.05,25,patch,modified,18213,17794,0.2373,,1088.67
R0_FA0,R0_FN0,eventCount_noPolarity,mixvpr,1,timebin,fixed,,0.05,25,frame,modified,17794,20953,0.0922,,270.11
R0_FA0,R0_FS0,eventCount_noPolarity,cosplace,1,timebin,fixed,,0.05,25,frame,modified,18213,20953,0.4728,,231.59
R0_FA0,R0_FS0,eventCount_noPolarity,netvlad,1,timebin,fixed,,0.05,25,frame,modified,18213,20953,0.4003,,233.12
R0_FA0,R0_FN0,eventCount_noPolarity,cosplace,1,timebin,fixed,,0.05,25,frame,modified,17794,20953,0.0335,,177.42
R0_FN0,R0_FS0,eventCount_noPolarity,mixvpr,1,timebin,fixed,,0.05,25,frame,modified,18213,17794,0.2356,,225.50
R0_FA0,R0_FN0,eventCount_noPolarity,netvlad,1,timebin,fixed,,0.05,25,frame,modified,17794,20953,0.0512,,194.71
R0_FN0,R0_FS0,eventCount_noPolarity,cosplace,1,timebin,fixed,,0.05,25,frame,modified,18213,17794,0.1464,,138.78
R0_FN0,R0_FS0,eventCount_noPolarity,netvlad,1,timebin,fixed,,0.05,25,frame,modified,18213,17794,0.1202,,157.23
R0_RS0,R0_RN0,eventCount,netvlad,1,timebin,fixed,,0.05,25,patch,modified,18655,20536,0.1568,,806.54
R0_RA0,R0_RN0,eventCount_noPolarity,mixvpr,1,timebin,fixed,,0.05,25,frame,modified,18655,25753,0.0531,,360.08
R0_RA0,R0_RN0,eventCount_noPolarity,cosplace,1,timebin,fixed,,0.05,25,frame,modified,18655,25753,0.0194,,280.10
R0_RA0,R0_RN0,eventCount_noPolarity,netvlad,1,timebin,fixed,,0.05,25,frame,modified,18655,25753,0.0380,,266.18
R0_FA0,R0_FN0,eventCount,megaloc,1,timebin,fixed,,0.05,25,patch,modified,17794,20953,0.1562,,2020.45
R0_RS0,R0_RN0,eventCount_noPolarity,cosplace,1,timebin,fixed,,0.05,25,frame,modified,18655,20536,0.0913,,208.93
R0_RS0,R0_RN0,eventCount_noPolarity,mixvpr,1,timebin,fixed,,0.05,25,frame,modified,18655,20536,0.0964,,288.14
R0_RS0,R0_RN0,eventCount_noPolarity,netvlad,1,timebin,fixed,,0.05,25,frame,modified,18655,20536,0.1132,,220.30
R0_FA0,R0_FS0,timeSurface,cosplace,1,timebin,fixed,,0.05,25,frame,modified,18213,20953,0.5286,,245.34
R0_FA0,R0_FS0,timeSurface,mixvpr,1,timebin,fixed,,0.05,25,frame,modified,18213,20953,0.7052,,324.38
R0_RA0,R0_RN0,eventCount,cosplace,1,timebin,fixed,,0.05,25,patch,modified,18655,25753,0.0274,,1283.10
R0_FA0,R0_FS0,timeSurface,netvlad,1,timebin,fixed,,0.05,25,frame,modified,18213,20953,0.4571,,289.80
R0_RA0,R0_RN0,eventCount,mixvpr,1,timebin,fixed,,0.05,25,patch,modified,18655,25753,0.0559,,1254.45
R0_FA0,R0_FN0,timeSurface,cosplace,1,timebin,fixed,,0.05,25,frame,modified,17794,20953,0.0454,,189.71
R0_FA0,R0_FS0,eventCount_noPolarity,netvlad,1,timebin,fixed,,0.05,25,patch,modified,18213,20953,0.5285,,804.06
R0_FN0,R0_FS0,timeSurface,cosplace,1,timebin,fixed,,0.05,25,frame,modified,18213,17794,0.1514,,138.01
R0_FA0,R0_FN0,timeSurface,netvlad,1,timebin,fixed,,0.05,25,frame,modified,17794,20953,0.0505,,202.00
R0_FA0,R0_FN0,timeSurface,mixvpr,1,timebin,fixed,,0.05,25,frame,modified,17794,20953,0.0783,,250.01
R0_FA0,R0_FN0,eventCount,megaloc,1,timebin,fixed,,0.05,25,frame,modified,17794,20953,0.2206,,1600.64
R0_FN0,R0_FS0,timeSurface,netvlad,1,timebin,fixed,,0.05,25,frame,modified,18213,17794,0.1490,,158.76
R0_FN0,R0_FS0,timeSurface,mixvpr,1,timebin,fixed,,0.05,25,frame,modified,18213,17794,0.2456,,224.88
R0_RA0,R0_RN0,timeSurface,cosplace,1,timebin,fixed,,0.05,25,frame,modified,18655,25753,0.0165,,278.03
R0_RA0,R0_RN0,timeSurface,netvlad,1,timebin,fixed,,0.05,25,frame,modified,18655,25753,0.0362,,278.26
R0_RS0,R0_RN0,timeSurface,cosplace,1,timebin,fixed,,0.05,25,frame,modified,18655,20536,0.0654,,233.94
R0_RA0,R0_RN0,timeSurface,mixvpr,1,timebin,fixed,,0.05,25,frame,modified,18655,25753,0.0627,,343.20
R0_FA0,R0_FN0,eventCount_noPolarity,netvlad,1,timebin,fixed,,0.05,25,patch,modified,17794,20953,0.0425,,763.77
R0_RS0,R0_RN0,timeSurface,netvlad,1,timebin,fixed,,0.05,25,frame,modified,18655,20536,0.0643,,223.55
R0_FA0,R0_FS0,e2vid,cosplace,1,timebin,fixed,,0.05,25,frame,modified,18213,20953,0.6968,,196.85
R0_FA0,R0_FS0,e2vid,netvlad,1,timebin,fixed,,0.05,25,frame,modified,18213,20953,0.5843,,196.92
R0_FA0,R0_FN0,e2vid,cosplace,1,timebin,fixed,,0.05,25,frame,modified,17794,20953,0.0382,,195.74
R0_RS0,R0_RN0,eventCount,cosplace,1,timebin,fixed,,0.05,25,patch,modified,18655,20536,0.0522,,1115.62
R0_RS0,R0_RN0,timeSurface,mixvpr,1,timebin,fixed,,0.05,25,frame,modified,18655,20536,0.1055,,334.55
R0_RS0,R0_RN0,eventCount,mixvpr,1,timebin,fixed,,0.05,25,patch,modified,18655,20536,0.1120,,1160.05
R0_FN0,R0_FS0,e2vid,cosplace,1,timebin,fixed,,0.05,25,frame,modified,18213,17794,0.1940,,141.93
R0_FA0,R0_FN0,e2vid,netvlad,1,timebin,fixed,,0.05,25,frame,modified,17794,20953,0.0416,,204.07
R0_FA0,R0_FS0,e2vid,mixvpr,1,timebin,fixed,,0.05,25,frame,modified,18213,20953,0.7352,,274.27
R0_FN0,R0_FS0,e2vid,netvlad,1,timebin,fixed,,0.05,25,frame,modified,18213,17794,0.1536,,161.82
R0_FN0,R0_FS0,eventCount,megaloc,1,timebin,fixed,,0.05,25,patch,modified,18213,17794,0.3291,,1912.78
R0_RA0,R0_RN0,e2vid,cosplace,1,timebin,fixed,,0.05,25,frame,modified,18655,25753,0.0143,,265.97
R0_FN0,R0_FS0,eventCount_noPolarity,netvlad,1,timebin,fixed,,0.05,25,patch,modified,18213,17794,0.1658,,694.32
R0_FA0,R0_FN0,e2vid,mixvpr,1,timebin,fixed,,0.05,25,frame,modified,17794,20953,0.0357,,228.22
R0_RS0,R0_RN0,e2vid,cosplace,1,timebin,fixed,,0.05,25,frame,modified,18655,20536,0.0111,,194.29
R0_RA0,R0_RN0,e2vid,netvlad,1,timebin,fixed,,0.05,25,frame,modified,18655,25753,0.0243,,266.39
R0_FN0,R0_FS0,e2vid,mixvpr,1,timebin,fixed,,0.05,25,frame,modified,18213,17794,0.1956,,222.09
