ref_seq,qry_seq,reconstruction_name,vpr_method,seq_len,bin_type,binning_strategy,events_per_bin,time_res,positive_dist_thresh,patch_or_frame,seq_match_type,num_qry_frames,num_ref_frames,recall_at_1,auc,runtime
R0_FA0,R0_FS0,eventCount,mixvpr,1,timebin,adaptive,,,25,frame,modified,1034,1182,0.4439,,36.50
R0_FA0,R0_FS0,eventCount,cosplace,1,timebin,adaptive,,,25,frame,modified,1034,1182,0.3482,,38.00
R0_FA0,R0_FN0,eventCount,mixvpr,1,timebin,adaptive,,,25,frame,modified,1012,1182,0.0810,,14.14
R0_FA0,R0_FN0,eventCount,cosplace,1,timebin,adaptive,,,25,frame,modified,1012,1182,0.0573,,15.50
R0_FN0,R0_FS0,eventCount,mixvpr,1,timebin,adaptive,,,25,frame,modified,1034,1012,0.1818,,12.14
R0_FN0,R0_FS0,eventCount,cosplace,1,timebin,adaptive,,,25,frame,modified,1034,1012,0.1644,,14.37
R0_RA0,R0_RN0,eventCount,mixvpr,1,timebin,adaptive,,,25,frame,modified,1052,1433,0.0789,,20.63
R0_RA0,R0_RN0,eventCount,cosplace,1,timebin,adaptive,,,25,frame,modified,1052,1433,0.0494,,17.35
R0_RS0,R0_RN0,eventCount,mixvpr,1,timebin,adaptive,,,25,frame,modified,1052,1156,0.1198,,17.37
R0_RS0,R0_RN0,eventCount,cosplace,1,timebin,adaptive,,,25,frame,modified,1052,1156,0.0475,,16.72
R0_FA0,R0_FS0,eventCount,megaloc,1,timebin,adaptive,,,25,frame,modified,1034,1182,0.5503,,110.93
R0_FA0,R0_FS0,eventCount_noPolarity,mixvpr,1,timebin,adaptive,,,25,frame,modified,1034,1182,0.3607,,15.51
R0_FA0,R0_FS0,eventCount_noPolarity,cosplace,1,timebin,adaptive,,,25,frame,modified,1034,1182,0.2369,,15.94
R0_FA0,R0_FS0,eventCount,netvlad,1,timebin,adaptive,,,25,frame,modified,1034,1182,0.3404,,24.85
R0_FA0,R0_FN0,eventCount_noPolarity,mixvpr,1,timebin,adaptive,,,25,frame,modified,1012,1182,0.0820,,13.41
R0_FA0,R0_FN0,eventCount_noPolarity,cosplace,1,timebin,adaptive,,,25,frame,modified,1012,1182,0.0415,,15.96
R0_FN0,R0_FS0,eventCount_noPolarity,mixvpr,1,timebin,adaptive,,,25,frame,modified,1034,1012,0.1615,,11.38
R0_FA0,R0_FN0,eventCount,netvlad,1,timebin,adaptive,,,25,frame,modified,1012,1182,0.0464,,23.90
R0_FN0,R0_FS0,eventCount_noPolarity,cosplace,1,timebin,adaptive,,,25,frame,modified,1034,1012,0.1499,,14.61
R0_FN0,R0_FS0,eventCount,netvlad,1,timebin,adaptive,,,25,frame,modified,1034,1012,0.1190,,19.44
R0_RA0,R0_RN0,eventCount_noPolarity,mixvpr,1,timebin,adaptive,,,25,frame,modified,1052,1433,0.0532,,21.40
R0_RA0,R0_RN0,eventCount_noPolarity,cosplace,1,timebin,adaptive,,,25,frame,modified,1052,1433,0.0219,,23.53
R0_RS0,R0_RN0,eventCount_noPolarity,mixvpr,1,timebin,adaptive,,,25,frame,modified,1052,1156,0.1559,,24.34
R0_RA0,R0_RN0,eventCount,netvlad,1,timebin,adaptive,,,25,frame,modified,1052,1433,0.0333,,24.54
R0_RS0,R0_RN0,eventCount_noPolarity,cosplace,1,timebin,adaptive,,,25,frame,modified,1052,1156,0.0627,,20.77
R0_FA0,R0_FN0,eventCount,megaloc,1,timebin,adaptive,,,25,frame,modified,1012,1182,0.1413,,91.02
R0_FA0,R0_FS0,timeSurface,mixvpr,1,timebin,adaptive,,,25,frame,modified,1034,1182,0.6402,,17.27
