feature_extractor,time_res,ensemble_reconstructions_s,ensemble_reconstructions_ms
cosplace,0.1,0.0537381350741947,53.7381350741947
cosplace,0.25,0.0919109623874392,91.9109623874392
cosplace,0.5,0.15345051303778312,153.4505130377831
cosplace,1.0,0.36302209478807657,363.0220947880766
megaloc,0.1,0.1457381350741947,145.7381350741947
megaloc,0.25,0.1839109623874392,183.9109623874392
megaloc,0.5,0.2454505130377831,245.45051303778308
megaloc,1.0,0.45502209478807654,455.0220947880765
mixvpr,0.1,0.0537381350741947,53.7381350741947
mixvpr,0.25,0.0919109623874392,91.9109623874392
mixvpr,0.5,0.15345051303778312,153.4505130377831
mixvpr,1.0,0.36302209478807657,363.0220947880766
netvlad,0.1,0.0617381350741947,61.7381350741947
netvlad,0.25,0.09991096238743921,99.91096238743921
netvlad,0.5,0.1614505130377831,161.4505130377831
netvlad,1.0,0.3710220947880766,371.0220947880766
