ref_seq,qry_seq,reconstruction_name,vpr_method,seq_len,bin_type,binning_strategy,events_per_bin,time_res,positive_dist_thresh,patch_or_frame,seq_match_type,num_qry_frames,num_ref_frames,recall_at_1,auc,runtime,patch_rows,patch_cols
sunset1,night,e2vid,mixvpr,10,timebin,fixed,,0.5,25,frame,modified,1191,1279,0.0688,0.0192,3.92,1,1
sunset1,night,e2vid,mixvpr,10,timebin,fixed,,1.0,25,frame,modified,595,639,0.1025,0.0388,1.00,1,1
sunset1,morning,e2vid,mixvpr,10,timebin,fixed,,1.0,25,frame,modified,591,639,0.8714,0.8604,1.01,1,1
sunset1,morning,e2vid,mixvpr,10,timebin,fixed,,0.5,25,frame,modified,1183,1279,0.8817,0.8747,3.51,1,1
sunset1,night,eventCount,mixvpr,10,timebin,fixed,,0.25,25,frame,modified,2383,2559,0.0600,0.0148,13.59,1,1
sunset1,night,eventCount,mixvpr,10,timebin,fixed,,1.0,25,frame,modified,595,639,0.1630,0.0565,1.01,1,1
sunset1,night,e2vid,mixvpr,10,timebin,fixed,,0.25,25,frame,modified,2383,2559,0.0415,0.0030,21.79,1,1
sunset1,sunrise,e2vid,mixvpr,10,timebin,fixed,,0.5,25,frame,modified,1205,1279,0.8905,0.8847,3.84,1,1
sunset1,night,e2vid,mixvpr,10,timebin,fixed,,0.2,25,frame,modified,2979,3199,0.0386,0.0033,21.19,1,1
sunset1,sunrise,e2vid,mixvpr,10,timebin,fixed,,1.0,25,frame,modified,602,639,0.8621,0.8535,1.02,1,1
sunset1,night,eventCount,mixvpr,10,timebin,fixed,,0.2,25,frame,modified,2979,3199,0.0601,0.0110,24.33,1,1
sunset1,morning,eventCount,mixvpr,10,timebin,fixed,,0.25,25,frame,modified,2367,2559,0.7748,0.7401,13.70,1,1
sunset1,morning,eventCount,mixvpr,10,timebin,fixed,,1.0,25,frame,modified,591,639,0.8562,0.8145,1.01,1,1
sunset1,sunset2,e2vid,mixvpr,10,timebin,fixed,,0.5,25,frame,modified,1131,1279,0.9752,0.9746,3.47,1,1
sunset1,sunset2,e2vid,mixvpr,10,timebin,fixed,,1.0,25,frame,modified,565,639,0.9664,0.9622,1.03,1,1
sunset1,sunrise,eventCount,mixvpr,10,timebin,fixed,,1.0,25,frame,modified,602,639,0.8405,0.8248,1.03,1,1
sunset1,daytime,e2vid,mixvpr,10,timebin,fixed,,1.0,25,frame,modified,640,639,0.7297,0.6901,1.08,1,1
sunset1,morning,e2vid,mixvpr,10,timebin,fixed,,0.25,25,frame,modified,2367,2559,0.8188,0.8087,14.57,1,1
sunset1,daytime,e2vid,mixvpr,10,timebin,fixed,,0.5,25,frame,modified,1281,1279,0.7034,0.6777,3.92,1,1
sunset1,morning,e2vid,mixvpr,10,timebin,fixed,,0.2,25,frame,modified,2959,3199,0.7986,0.7883,21.93,1,1
sunset1,sunrise,eventCount,mixvpr,10,timebin,fixed,,0.25,25,frame,modified,2411,2559,0.8225,0.8023,14.14,1,1
sunset1,night,eventCount,netvlad,10,timebin,fixed,,0.2,25,frame,modified,2979,3199,0.0346,0.0022,21.24,1,1
sunset1,sunset2,eventCount,mixvpr,10,timebin,fixed,,1.0,25,frame,modified,565,639,0.9735,0.9708,2.15,1,1
sunset1,night,e2vid,netvlad,10,timebin,fixed,,0.25,25,frame,modified,2383,2559,0.0097,0.0002,19.01,1,1
sunset1,night,timeSurface,mixvpr,10,timebin,fixed,,1.0,25,frame,modified,595,639,0.2622,0.1365,1.03,1,1
sunset1,morning,eventCount,mixvpr,10,timebin,fixed,,0.2,25,frame,modified,2959,3199,0.7347,0.6964,24.87,1,1
sunset1,night,e2vid,netvlad,10,timebin,fixed,,0.2,25,frame,modified,2979,3199,0.0111,0.0007,20.48,1,1
sunset1,night,timeSurface,mixvpr,10,timebin,fixed,,0.5,25,frame,modified,1191,1279,0.1528,0.0587,3.67,1,1
