ref_seq,qry_seq,reconstruction_name,vpr_method,seq_len,bin_type,binning_strategy,events_per_bin,time_res,positive_dist_thresh,patch_or_frame,seq_match_type,num_qry_frames,num_ref_frames,recall_at_1,auc,runtime,patch_rows,patch_colssunset1,night,e2vid,netvlad,1,countbin,fixed,1000000,Unnamed: 26,25,frame,modified,373,537,0.0241,0.0007,19.78,1.1,1.2,patch_cols
sunset1,night,eventCount,netvlad,1,countbin,fixed,1000000,,25,frame,modified,373,537,0.0107,0.0002,18.09,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,night,eventCount_noPolarity,netvlad,1,countbin,fixed,1000000,,25,frame,modified,373,537,0.0107,0.0004,18.08,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,night,eventCount_noPolarity,mixvpr,1,countbin,fixed,1000000,,25,frame,modified,373,537,0.0322,0.0055,21.2,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,night,timeSurface,netvlad,1,countbin,fixed,1000000,,25,frame,modified,373,537,0.0214,0.0009,20.2,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,night,e2vid,mixvpr,1,countbin,fixed,1000000,,25,frame,modified,373,537,0.0214,0.0014,22.18,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,night,eventCount_noPolarity,megaloc,1,countbin,fixed,1000000,,25,frame,modified,373,537,0.0134,0.0006,32.39,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,night,timeSurface,megaloc,1,countbin,fixed,1000000,,25,frame,modified,373,537,0.0456,0.0021,32.41,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,night,eventCount,megaloc,1,countbin,fixed,1000000,,25,frame,modified,373,537,0.0241,0.0013,32.72,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,night,e2vid,megaloc,1,countbin,fixed,1000000,,25,frame,modified,373,537,0.0349,0.001,32.5,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,morning,eventCount_noPolarity,mixvpr,1,countbin,fixed,1000000,,25,frame,modified,372,537,0.4409,0.3064,7.96,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,morning,e2vid,mixvpr,1,countbin,fixed,1000000,,25,frame,modified,372,537,0.422,0.3345,8.66,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,morning,eventCount_noPolarity,netvlad,1,countbin,fixed,1000000,,25,frame,modified,372,537,0.1909,0.0617,12.44,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,morning,e2vid,netvlad,1,countbin,fixed,1000000,,25,frame,modified,372,537,0.129,0.0301,13.25,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,morning,eventCount,netvlad,1,countbin,fixed,1000000,,25,frame,modified,372,537,0.2796,0.106,14.24,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,morning,timeSurface,netvlad,1,countbin,fixed,1000000,,25,frame,modified,372,537,0.2554,0.0896,14.16,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,sunrise,eventCount_noPolarity,mixvpr,1,countbin,fixed,1000000,,25,frame,modified,495,537,0.4788,0.39,8.78,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,sunrise,e2vid,mixvpr,1,countbin,fixed,1000000,,25,frame,modified,495,537,0.6202,0.5845,9.32,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,morning,timeSurface,megaloc,1,countbin,fixed,1000000,,25,frame,modified,372,537,0.3737,0.2337,17.9,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,morning,eventCount,megaloc,1,countbin,fixed,1000000,,25,frame,modified,372,537,0.3952,0.222,18.0,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,morning,eventCount_noPolarity,megaloc,1,countbin,fixed,1000000,,25,frame,modified,372,537,0.2957,0.1274,18.47,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,morning,e2vid,megaloc,1,countbin,fixed,1000000,,25,frame,modified,372,537,0.3468,0.1493,18.17,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,sunrise,eventCount_noPolarity,netvlad,1,countbin,fixed,1000000,,25,frame,modified,495,537,0.2848,0.1286,10.65,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,sunrise,e2vid,netvlad,1,countbin,fixed,1000000,,25,frame,modified,495,537,0.2424,0.0866,12.11,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,sunrise,eventCount,netvlad,1,countbin,fixed,1000000,,25,frame,modified,495,537,0.3091,0.1587,12.09,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,sunrise,timeSurface,netvlad,1,countbin,fixed,1000000,,25,frame,modified,495,537,0.3253,0.1564,12.83,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,sunset2,eventCount_noPolarity,mixvpr,1,countbin,fixed,1000000,,25,frame,modified,708,537,0.75,0.7008,11.02,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,sunset2,e2vid,mixvpr,1,countbin,fixed,1000000,,25,frame,modified,708,537,0.8475,0.8168,12.8,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,sunset2,eventCount_noPolarity,netvlad,1,countbin,fixed,1000000,,25,frame,modified,708,537,0.4831,0.3563,11.35,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,sunset2,e2vid,netvlad,1,countbin,fixed,1000000,,25,frame,modified,708,537,0.4831,0.323,13.56,1,1,,,,,,,,,,,,,,,,,,,1
sunset1,sunset2,eventCount,netvlad,1,countbin,fixed,1000000,,25,frame,modified,708,537,0.613,0.5028,13.95,1,1,,,,,,,,,,,,,,,,,,,1
