ref_seq,qry_seq,reconstruction_name,vpr_method,seq_len,bin_type,binning_strategy,events_per_bin,time_res,positive_dist_thresh,patch_or_frame,seq_match_type,num_qry_frames,num_ref_frames,recall_at_1,auc,runtime,patch_rows,patch_cols
sunset1,night,eventCount,mixvpr,1,countbin,fixed,200000,,25,patch,modified,1861,2684,0.0467,,96.19,0,0
sunset1,morning,eventCount,mixvpr,1,countbin,fixed,200000,,25,patch,modified,1859,2684,0.8047,,92.81,0,0
sunset1,sunrise,eventCount,mixvpr,1,countbin,fixed,200000,,25,patch,modified,2474,2684,0.8092,,118.26,0,0
sunset1,night,eventCount,megaloc,1,countbin,fixed,200000,,25,patch,modified,1861,2684,0.0258,,109.48,0,0
sunset1,morning,eventCount,megaloc,1,countbin,fixed,200000,,25,patch,modified,1859,2684,0.5842,,108.22,0,0
sunset1,sunset2,eventCount,mixvpr,1,countbin,fixed,200000,,25,patch,modified,3538,2684,0.9149,,161.57,0,0
sunset1,night,eventCount,cosplace,1,countbin,fixed,200000,,25,patch,modified,1861,2684,0.0172,,99.02,0,0
sunset1,night,eventCount,netvlad,1,countbin,fixed,200000,,25,patch,modified,1861,2684,0.0339,,65.71,0,0
sunset1,sunrise,eventCount,megaloc,1,countbin,fixed,200000,,25,patch,modified,2474,2684,0.5857,,127.42,0,0
sunset1,daytime,eventCount,mixvpr,1,countbin,fixed,200000,,25,patch,modified,3388,2684,0.4377,,148.83,0,0
sunset1,morning,eventCount,netvlad,1,countbin,fixed,200000,,25,patch,modified,1859,2684,0.6751,,59.87,0,0
sunset1,morning,eventCount,cosplace,1,countbin,fixed,200000,,25,patch,modified,1859,2684,0.4917,,71.34,0,0
sunset1,night,eventCount_noPolarity,mixvpr,1,countbin,fixed,200000,,25,patch,modified,1861,2684,0.0231,,99.24,0,0
sunset1,sunrise,eventCount,netvlad,1,countbin,fixed,200000,,25,patch,modified,2474,2684,0.6492,,107.52,0,0
sunset1,sunset2,eventCount,megaloc,1,countbin,fixed,200000,,25,patch,modified,3538,2684,0.8502,,173.97,0,0
sunset1,sunrise,eventCount,cosplace,1,countbin,fixed,200000,,25,patch,modified,2474,2684,0.5715,,108.76,0,0
sunset1,morning,eventCount_noPolarity,mixvpr,1,countbin,fixed,200000,,25,patch,modified,1859,2684,0.6934,,92.88,0,0
sunset1,sunset2,eventCount,netvlad,1,countbin,fixed,200000,,25,patch,modified,3538,2684,0.8703,,119.62,0,0
sunset1,sunset2,eventCount,cosplace,1,countbin,fixed,200000,,25,patch,modified,3538,2684,0.7897,,126.09,0,0
sunset1,daytime,eventCount,megaloc,1,countbin,fixed,200000,,25,patch,modified,3388,2684,0.3687,,199.35,0,0
sunset1,sunrise,eventCount_noPolarity,mixvpr,1,countbin,fixed,200000,,25,patch,modified,2474,2684,0.6896,,138.17,0,0
sunset1,daytime,eventCount,netvlad,1,countbin,fixed,200000,,25,patch,modified,3388,2684,0.3967,,107.4,0,0
sunset1,daytime,eventCount,cosplace,1,countbin,fixed,200000,,25,patch,modified,3388,2684,0.2349,,122.81,0,0
sunset1,night,eventCount_noPolarity,netvlad,1,countbin,fixed,200000,,25,patch,modified,1861,2684,0.014,,65.71,0,0
sunset1,night,eventCount_noPolarity,megaloc,1,countbin,fixed,200000,,25,patch,modified,1861,2684,0.0167,,103.63,0,0
sunset1,night,eventCount_noPolarity,cosplace,1,countbin,fixed,200000,,25,patch,modified,1861,2684,0.014,,72.59,0,0
sunset1,morning,eventCount_noPolarity,netvlad,1,countbin,fixed,200000,,25,patch,modified,1859,2684,0.5132,,59.11,0,0
sunset1,sunset2,eventCount_noPolarity,mixvpr,1,countbin,fixed,200000,,25,patch,modified,3538,2684,0.9033,,162.37,0,0
sunset1,morning,eventCount_noPolarity,cosplace,1,countbin,fixed,200000,,25,patch,modified,1859,2684,0.5223,,105.92,0,0
sunset1,sunrise,eventCount_noPolarity,netvlad,1,countbin,fixed,200000,,25,patch,modified,2474,2684,0.5554,,88.07,0,0
