ref_seq,qry_seq,reconstruction_name,vpr_method,seq_len,bin_type,binning_strategy,events_per_bin,time_res,positive_dist_thresh,patch_or_frame,seq_match_type,num_qry_frames,num_ref_frames,recall_at_1,auc,runtime,patch_rows,patch_cols
sunset1,night,eventCount,mixvpr,1,timebin,fixed,,0.5,25,frame,modified,1191,1279,0.0512,0.0036,0.18,1,1
sunset1,morning,eventCount,mixvpr,1,timebin,fixed,,0.5,25,frame,modified,1183,1279,0.5562,0.4579,0.38,1,1
sunset1,sunrise,eventCount,mixvpr,1,timebin,fixed,,0.5,25,frame,modified,1205,1279,0.6813,0.6054,0.23,1,1
sunset1,sunset2,eventCount,mixvpr,1,timebin,fixed,,0.5,25,frame,modified,1131,1279,0.9452,0.9383,0.24,1,1
sunset1,daytime,eventCount,mixvpr,1,timebin,fixed,,0.5,25,frame,modified,1281,1279,0.3591,0.1504,0.23,1,1
sunset1,night,eventCount_noPolarity,mixvpr,1,timebin,fixed,,0.5,25,frame,modified,1191,1279,0.0504,0.0025,0.23,1,1
sunset1,morning,eventCount_noPolarity,mixvpr,1,timebin,fixed,,0.5,25,frame,modified,1183,1279,0.459,0.3064,0.18,1,1
sunset1,sunrise,eventCount_noPolarity,mixvpr,1,timebin,fixed,,0.5,25,frame,modified,1205,1279,0.5552,0.4584,0.23,1,1
sunset1,sunset2,eventCount_noPolarity,mixvpr,1,timebin,fixed,,0.5,25,frame,modified,1131,1279,0.8603,0.8324,0.22,1,1
sunset1,daytime,eventCount_noPolarity,mixvpr,1,timebin,fixed,,0.5,25,frame,modified,1281,1279,0.2334,0.0721,0.18,1,1
sunset1,night,timeSurface,mixvpr,1,timebin,fixed,,0.5,25,frame,modified,1191,1279,0.0722,0.009,0.43,1,1
sunset1,night,eventCount,netvlad,1,timebin,fixed,,0.5,25,frame,modified,1191,1279,0.0487,0.0029,18.51,1,1
sunset1,night,eventCount,cosplace,1,timebin,fixed,,0.5,25,frame,modified,1191,1279,0.0269,0.0006,21.73,1,1
sunset1,morning,timeSurface,mixvpr,1,timebin,fixed,,0.5,25,frame,modified,1183,1279,0.6484,0.5581,0.21,1,1
sunset1,morning,eventCount,netvlad,1,timebin,fixed,,0.5,25,frame,modified,1183,1279,0.2654,0.079,21.6,1,1
sunset1,night,eventCount,megaloc,1,timebin,fixed,,0.5,25,frame,modified,1191,1279,0.0907,0.0085,39.97,1,1
