ref_seq,qry_seq,reconstruction_name,vpr_method,seq_len,bin_type,binning_strategy,events_per_bin,time_res,positive_dist_thresh,patch_or_frame,seq_match_type,num_qry_frames,num_ref_frames,recall_at_1,auc,runtime,patch_rows,patch_cols
R0_FA0,R0_FS0,eventCount,mixvpr,1,countbin,fixed,200000,,25,patch,modified,20420,21242,0.8335,,1201.76,0,0
R0_FA0,R0_FS0,eventCount,cosplace,1,countbin,fixed,200000,,25,patch,modified,20420,21242,0.6341,,1162.68,0,0
R0_FA0,R0_FS0,eventCount,netvlad,1,countbin,fixed,200000,,25,patch,modified,20420,21242,0.761,,779.81,0,0
R0_FA0,R0_FN0,eventCount,mixvpr,1,countbin,fixed,200000,,25,patch,modified,9636,21242,0.1116,,775.9,0,0
R0_FA0,R0_FN0,eventCount,cosplace,1,countbin,fixed,200000,,25,patch,modified,9636,21242,0.0389,,708.44,0,0
R0_FA0,R0_FN0,eventCount,netvlad,1,countbin,fixed,200000,,25,patch,modified,9636,21242,0.0944,,496.37,0,0
R0_FA0,R0_FS0,eventCount,megaloc,1,countbin,fixed,200000,,25,patch,modified,20420,21242,0.8448,,2360.18,0,0
R0_FN0,R0_FS0,eventCount,netvlad,1,countbin,fixed,200000,,25,patch,modified,20420,9636,0.0947,,641.27,0,0
R0_FN0,R0_FS0,eventCount,mixvpr,1,countbin,fixed,200000,,25,patch,modified,20420,9636,0.1286,,957.27,0,0
R0_FN0,R0_FS0,eventCount,cosplace,1,countbin,fixed,200000,,25,patch,modified,20420,9636,0.1098,,988.71,0,0
R0_RA0,R0_RN0,eventCount,netvlad,1,countbin,fixed,200000,,25,patch,modified,9351,21076,0.061,,580.77,0,0
R0_RA0,R0_RN0,eventCount,mixvpr,1,countbin,fixed,200000,,25,patch,modified,9351,21076,0.0821,,702.44,0,0
R0_RA0,R0_RN0,eventCount,cosplace,1,countbin,fixed,200000,,25,patch,modified,9351,21076,0.0261,,694.04,0,0
R0_FA0,R0_FN0,eventCount,megaloc,1,countbin,fixed,200000,,25,patch,modified,9636,21242,0.1786,,1511.66,0,0
R0_RS0,R0_RN0,eventCount,netvlad,1,countbin,fixed,200000,,25,patch,modified,9351,19321,0.0782,,535.58,0,0
R0_RS0,R0_RN0,eventCount,mixvpr,1,countbin,fixed,200000,,25,patch,modified,9351,19321,0.0996,,679.97,0,0
R0_RS0,R0_RN0,eventCount,cosplace,1,countbin,fixed,200000,,25,patch,modified,9351,19321,0.0238,,657.63,0,0
R0_FA0,R0_FS0,eventCount_noPolarity,netvlad,1,countbin,fixed,200000,,25,patch,modified,20420,21242,0.6547,,837.65,0,0
