ref_seq,qry_seq,reconstruction_name,vpr_method,seq_len,bin_type,binning_strategy,events_per_bin,time_res,positive_dist_thresh,patch_or_frame,seq_match_type,num_qry_frames,num_ref_frames,recall_at_1,auc,runtime,patch_rows,patch_cols
R0_FA0,R0_FS0,eventCount,mixvpr,1,timebin,fixed,,0.5,25,frame,modified,1821,2095,0.5371,0.3452,0.34,1,1
R0_FA0,R0_FN0,eventCount,mixvpr,1,timebin,fixed,,0.5,25,frame,modified,1779,2095,0.0978,0.0078,0.3,1,1
R0_FN0,R0_FS0,eventCount,mixvpr,1,timebin,fixed,,0.5,25,frame,modified,1821,1779,0.2076,0.0457,0.31,1,1
R0_RA0,R0_RN0,eventCount,mixvpr,1,timebin,fixed,,0.5,25,frame,modified,1865,2575,0.082,0.005,0.36,1,1
R0_RS0,R0_RN0,eventCount,mixvpr,1,timebin,fixed,,0.5,25,frame,modified,1865,2053,0.1394,0.0174,0.32,1,1
R0_FA0,R0_FS0,eventCount_noPolarity,mixvpr,1,timebin,fixed,,0.5,25,frame,modified,1821,2095,0.4399,0.261,0.38,1,1
R0_FA0,R0_FN0,eventCount_noPolarity,mixvpr,1,timebin,fixed,,0.5,25,frame,modified,1779,2095,0.1006,0.0079,0.56,1,1
R0_FN0,R0_FS0,eventCount_noPolarity,mixvpr,1,timebin,fixed,,0.5,25,frame,modified,1821,1779,0.2142,0.0427,0.3,1,1
R0_RA0,R0_RN0,eventCount_noPolarity,mixvpr,1,timebin,fixed,,0.5,25,frame,modified,1865,2575,0.0686,0.0038,0.32,1,1
R0_RS0,R0_RN0,eventCount_noPolarity,mixvpr,1,timebin,fixed,,0.5,25,frame,modified,1865,2053,0.1914,0.0557,0.3,1,1
R0_FA0,R0_FS0,timeSurface,mixvpr,1,timebin,fixed,,0.5,25,frame,modified,1821,2095,0.6831,0.4802,0.33,1,1
R0_FA0,R0_FN0,timeSurface,mixvpr,1,timebin,fixed,,0.5,25,frame,modified,1779,2095,0.0922,0.0065,0.25,1,1
R0_FN0,R0_FS0,timeSurface,mixvpr,1,timebin,fixed,,0.5,25,frame,modified,1821,1779,0.257,0.0618,0.28,1,1
R0_FA0,R0_FS0,eventCount,netvlad,1,timebin,fixed,,0.5,25,patch,modified,1821,2095,0.4618,0.1956,86.7,2,3
R0_FA0,R0_FS0,eventCount,mixvpr,1,timebin,fixed,,0.5,25,patch,modified,1821,2095,0.5898,0.4142,0.4,2,3
R0_FA0,R0_FS0,eventCount,cosplace,1,timebin,fixed,,0.5,25,patch,modified,1821,2095,0.4327,0.2031,118.02,2,3
R0_FA0,R0_FN0,eventCount,netvlad,1,timebin,fixed,,0.5,25,patch,modified,1779,2095,0.0742,0.0053,72.21,2,3
R0_FA0,R0_FS0,eventCount,megaloc,1,timebin,fixed,,0.5,25,patch,modified,1821,2095,0.6063,0.3666,220.77,2,3
R0_FA0,R0_FN0,eventCount,mixvpr,1,timebin,fixed,,0.5,25,patch,modified,1779,2095,0.1158,0.0121,0.37,2,3
R0_FA0,R0_FN0,eventCount,cosplace,1,timebin,fixed,,0.5,25,patch,modified,1779,2095,0.05,0.002,106.13,2,3
R0_FN0,R0_FS0,eventCount,netvlad,1,timebin,fixed,,0.5,25,patch,modified,1821,1779,0.1763,0.0398,67.3,2,3
R0_RA0,R0_RN0,eventCount,netvlad,1,timebin,fixed,,0.5,25,patch,modified,1865,2575,0.0525,0.0027,82.69,2,3
R0_FN0,R0_FS0,eventCount,mixvpr,1,timebin,fixed,,0.5,25,patch,modified,1821,1779,0.2098,0.0484,0.38,2,3
R0_FN0,R0_FS0,eventCount,cosplace,1,timebin,fixed,,0.5,25,patch,modified,1821,1779,0.2076,0.0553,107.87,2,3
R0_RS0,R0_RN0,eventCount,netvlad,1,timebin,fixed,,0.5,25,patch,modified,1865,2053,0.1008,0.0113,79.44,2,3
R0_FA0,R0_FN0,eventCount,megaloc,1,timebin,fixed,,0.5,25,patch,modified,1779,2095,0.1321,0.0133,204.1,2,3
R0_RA0,R0_RN0,eventCount,mixvpr,1,timebin,fixed,,0.5,25,patch,modified,1865,2575,0.0976,0.0104,0.41,2,3
R0_FA0,R0_FS0,eventCount_noPolarity,netvlad,1,timebin,fixed,,0.5,25,patch,modified,1821,2095,0.3926,0.1381,67.82,2,3
R0_RA0,R0_RN0,eventCount,cosplace,1,timebin,fixed,,0.5,25,patch,modified,1865,2575,0.0375,0.0024,123.4,2,3
R0_FA0,R0_FN0,eventCount_noPolarity,netvlad,1,timebin,fixed,,0.5,25,patch,modified,1779,2095,0.0371,0.0009,66.15,2,3
R0_RS0,R0_RN0,eventCount,mixvpr,1,timebin,fixed,,0.5,25,patch,modified,1865,2053,0.1324,0.0154,0.4,2,3
R0_RS0,R0_RN0,eventCount,cosplace,1,timebin,fixed,,0.5,25,patch,modified,1865,2053,0.0552,0.0035,106.42,2,3
R0_FN0,R0_FS0,eventCount_noPolarity,netvlad,1,timebin,fixed,,0.5,25,patch,modified,1821,1779,0.19,0.0442,65.85,2,3
R0_FN0,R0_FS0,eventCount,megaloc,1,timebin,fixed,,0.5,25,patch,modified,1821,1779,0.3075,0.0847,192.68,2,3
R0_FA0,R0_FS0,eventCount_noPolarity,mixvpr,1,timebin,fixed,,0.5,25,patch,modified,1821,2095,0.4673,0.2366,0.4,2,3
R0_RA0,R0_RN0,eventCount_noPolarity,netvlad,1,timebin,fixed,,0.5,25,patch,modified,1865,2575,0.0408,0.0022,85.79,2,3
R0_FA0,R0_FS0,eventCount_noPolarity,cosplace,1,timebin,fixed,,0.5,25,patch,modified,1821,2095,0.3624,0.1452,112.89,2,3
R0_FA0,R0_FN0,eventCount_noPolarity,mixvpr,1,timebin,fixed,,0.5,25,patch,modified,1779,2095,0.0871,0.0069,0.34,2,3
R0_RS0,R0_RN0,eventCount_noPolarity,netvlad,1,timebin,fixed,,0.5,25,patch,modified,1865,2053,0.0584,0.0028,79.43,2,3
R0_FA0,R0_FN0,eventCount_noPolarity,cosplace,1,timebin,fixed,,0.5,25,patch,modified,1779,2095,0.0371,0.0012,103.24,2,3
R0_RA0,R0_RN0,eventCount,megaloc,1,timebin,fixed,,0.5,25,patch,modified,1865,2575,0.1029,0.0077,224.29,2,3
R0_FA0,R0_FS0,timeSurface,netvlad,1,timebin,fixed,,0.5,25,patch,modified,1821,2095,0.615,0.34,77.95,2,3
R0_FN0,R0_FS0,eventCount_noPolarity,mixvpr,1,timebin,fixed,,0.5,25,patch,modified,1821,1779,0.2048,0.0455,0.37,2,3
R0_FN0,R0_FS0,eventCount_noPolarity,cosplace,1,timebin,fixed,,0.5,25,patch,modified,1821,1779,0.1845,0.0526,100.32,2,3
R0_FA0,R0_FN0,timeSurface,netvlad,1,timebin,fixed,,0.5,25,patch,modified,1779,2095,0.0731,0.0044,69.75,2,3
R0_RA0,R0_RN0,eventCount_noPolarity,mixvpr,1,timebin,fixed,,0.5,25,patch,modified,1865,2575,0.0606,0.0035,0.38,2,3
R0_FN0,R0_FS0,timeSurface,netvlad,1,timebin,fixed,,0.5,25,patch,modified,1821,1779,0.1993,0.0513,66.52,2,3
R0_RA0,R0_RN0,eventCount_noPolarity,cosplace,1,timebin,fixed,,0.5,25,patch,modified,1865,2575,0.0263,0.0008,121.14,2,3
R0_RS0,R0_RN0,eventCount,megaloc,1,timebin,fixed,,0.5,25,patch,modified,1865,2053,0.1582,0.0214,210.3,2,3
R0_RS0,R0_RN0,eventCount_noPolarity,mixvpr,1,timebin,fixed,,0.5,25,patch,modified,1865,2053,0.0912,0.0086,0.36,2,3
R0_RA0,R0_RN0,timeSurface,netvlad,1,timebin,fixed,,0.5,25,patch,modified,1865,2575,0.0381,0.0009,86.93,2,3
R0_RS0,R0_RN0,eventCount_noPolarity,cosplace,1,timebin,fixed,,0.5,25,patch,modified,1865,2053,0.0424,0.0023,104.85,2,3
R0_RS0,R0_RN0,timeSurface,netvlad,1,timebin,fixed,,0.5,25,patch,modified,1865,2053,0.0965,0.0096,73.62,2,3
R0_FA0,R0_FS0,timeSurface,cosplace,1,timebin,fixed,,0.5,25,patch,modified,1821,2095,0.6321,0.3944,105.41,2,3
R0_FA0,R0_FS0,e2vid,netvlad,1,timebin,fixed,,0.5,25,patch,modified,1821,2095,0.4981,0.2206,69.04,2,3
R0_FA0,R0_FS0,timeSurface,mixvpr,1,timebin,fixed,,0.5,25,patch,modified,1821,2095,0.7551,0.5435,0.42,2,3
R0_FA0,R0_FS0,eventCount_noPolarity,megaloc,1,timebin,fixed,,0.5,25,patch,modified,1821,2095,0.5437,0.2994,215.14,2,3
R0_FA0,R0_FN0,e2vid,netvlad,1,timebin,fixed,,0.5,25,patch,modified,1779,2095,0.0292,0.0007,71.1,2,3
R0_FA0,R0_FN0,timeSurface,cosplace,1,timebin,fixed,,0.5,25,patch,modified,1779,2095,0.095,0.0166,104.02,2,3
R0_FA0,R0_FN0,timeSurface,mixvpr,1,timebin,fixed,,0.5,25,patch,modified,1779,2095,0.113,0.0127,0.35,2,3
R0_FN0,R0_FS0,e2vid,netvlad,1,timebin,fixed,,0.5,25,patch,modified,1821,1779,0.1768,0.0326,65.48,2,3
R0_FN0,R0_FS0,timeSurface,cosplace,1,timebin,fixed,,0.5,25,patch,modified,1821,1779,0.2499,0.0764,101.3,2,3
R0_FN0,R0_FS0,timeSurface,mixvpr,1,timebin,fixed,,0.5,25,patch,modified,1821,1779,0.2592,0.0744,0.36,2,3
R0_FA0,R0_FN0,eventCount_noPolarity,megaloc,1,timebin,fixed,,0.5,25,patch,modified,1779,2095,0.1332,0.0173,196.73,2,3
R0_RA0,R0_RN0,e2vid,netvlad,1,timebin,fixed,,0.5,25,patch,modified,1865,2575,0.0166,0.0004,138.22,2,3
R0_RA0,R0_RN0,timeSurface,cosplace,1,timebin,fixed,,0.5,25,patch,modified,1865,2575,0.0247,0.0004,121.95,2,3
R0_RA0,R0_RN0,timeSurface,mixvpr,1,timebin,fixed,,0.5,25,frame,modified,1865,2575,0.0761,0.0059,0.28,1,1
R0_RA0,R0_RN0,timeSurface,mixvpr,1,timebin,fixed,,0.5,25,patch,modified,1865,2575,0.0681,0.0039,0.4,2,3
R0_RS0,R0_RN0,e2vid,netvlad,1,timebin,fixed,,0.5,25,patch,modified,1865,2053,0.0306,0.0006,79.72,2,3
R0_RS0,R0_RN0,timeSurface,mixvpr,1,timebin,fixed,,0.5,25,frame,modified,1865,2053,0.1185,0.0171,0.31,1,1
R0_FA0,R0_FS0,e2vid,mixvpr,1,timebin,fixed,,0.5,25,frame,modified,1821,2095,0.6469,0.4453,0.33,1,1
R0_RS0,R0_RN0,timeSurface,cosplace,1,timebin,fixed,,0.5,25,patch,modified,1865,2053,0.0933,0.0131,107.44,2,3
R0_FA0,R0_FN0,e2vid,mixvpr,1,timebin,fixed,,0.5,25,frame,modified,1779,2095,0.0354,0.0009,0.29,1,1
R0_FN0,R0_FS0,eventCount_noPolarity,megaloc,1,timebin,fixed,,0.5,25,patch,modified,1821,1779,0.2921,0.0879,199.09,2,3
R0_FN0,R0_FS0,e2vid,mixvpr,1,timebin,fixed,,0.5,25,frame,modified,1821,1779,0.168,0.0396,0.26,1,1
R0_RS0,R0_RN0,timeSurface,mixvpr,1,timebin,fixed,,0.5,25,patch,modified,1865,2053,0.111,0.0125,0.37,2,3
R0_FA0,R0_FS0,e2vid,cosplace,1,timebin,fixed,,0.5,25,patch,modified,1821,2095,0.5689,0.3278,103.45,2,3
R0_RA0,R0_RN0,e2vid,mixvpr,1,timebin,fixed,,0.5,25,frame,modified,1865,2575,0.0531,0.0024,0.29,1,1
R0_RS0,R0_RN0,e2vid,mixvpr,1,timebin,fixed,,0.5,25,frame,modified,1865,2053,0.1083,0.0141,0.67,1,1
R0_FA0,R0_FS0,e2vid,mixvpr,1,timebin,fixed,,0.5,25,patch,modified,1821,2095,0.7551,0.5327,0.36,2,3
R0_FA0,R0_FS0,eventCount,megaloc,1,timebin,fixed,,0.5,25,frame,modified,1821,2095,0.6315,0.4379,166.06,1,1
R0_FA0,R0_FN0,e2vid,cosplace,1,timebin,fixed,,0.5,25,patch,modified,1779,2095,0.0197,0.0004,100.93,2,3
R0_RA0,R0_RN0,eventCount_noPolarity,megaloc,1,timebin,fixed,,0.5,25,patch,modified,1865,2575,0.0729,0.0037,231.16,2,3
R0_FA0,R0_FN0,e2vid,mixvpr,1,timebin,fixed,,0.5,25,patch,modified,1779,2095,0.0309,0.0006,0.33,2,3
R0_FN0,R0_FS0,e2vid,cosplace,1,timebin,fixed,,0.5,25,patch,modified,1821,1779,0.1933,0.0305,98.27,2,3
R0_FA0,R0_FN0,eventCount,megaloc,1,timebin,fixed,,0.5,25,frame,modified,1779,2095,0.1675,0.0228,160.87,1,1
R0_FN0,R0_FS0,e2vid,mixvpr,1,timebin,fixed,,0.5,25,patch,modified,1821,1779,0.2169,0.0402,0.31,2,3
R0_FA0,R0_FS0,eventCount,cosplace,1,timebin,fixed,,0.5,25,frame,modified,1821,2095,0.3904,0.1607,54.04,1,1
R0_FA0,R0_FN0,eventCount,cosplace,1,timebin,fixed,,0.5,25,frame,modified,1779,2095,0.0495,0.0024,17.7,1,1
R0_FN0,R0_FS0,eventCount,cosplace,1,timebin,fixed,,0.5,25,frame,modified,1821,1779,0.1982,0.0533,14.24,1,1
R0_RA0,R0_RN0,e2vid,cosplace,1,timebin,fixed,,0.5,25,patch,modified,1865,2575,0.0129,0.0001,113.78,2,3
R0_RA0,R0_RN0,eventCount,cosplace,1,timebin,fixed,,0.5,25,frame,modified,1865,2575,0.0504,0.0046,27.97,1,1
R0_RS0,R0_RN0,eventCount_noPolarity,megaloc,1,timebin,fixed,,0.5,25,patch,modified,1865,2053,0.1308,0.0161,202.86,2,3
R0_RS0,R0_RN0,eventCount,cosplace,1,timebin,fixed,,0.5,25,frame,modified,1865,2053,0.0788,0.0068,20.94,1,1
R0_RA0,R0_RN0,e2vid,mixvpr,1,timebin,fixed,,0.5,25,patch,modified,1865,2575,0.0306,0.0009,0.4,2,3
R0_FN0,R0_FS0,eventCount,megaloc,1,timebin,fixed,,0.5,25,frame,modified,1821,1779,0.2812,0.0807,151.76,1,1
R0_FA0,R0_FS0,eventCount_noPolarity,cosplace,1,timebin,fixed,,0.5,25,frame,modified,1821,2095,0.2856,0.0769,22.24,1,1
R0_FA0,R0_FN0,eventCount_noPolarity,cosplace,1,timebin,fixed,,0.5,25,frame,modified,1779,2095,0.0467,0.0024,16.52,1,1
R0_FN0,R0_FS0,eventCount_noPolarity,cosplace,1,timebin,fixed,,0.5,25,frame,modified,1821,1779,0.1593,0.0418,14.28,1,1
R0_FA0,R0_FS0,eventCount,netvlad,1,timebin,fixed,,0.5,25,frame,modified,1821,2095,0.3866,0.157,35.84,1,1
R0_RS0,R0_RN0,e2vid,cosplace,1,timebin,fixed,,0.5,25,patch,modified,1865,2053,0.0794,0.0064,107.11,2,3
R0_RA0,R0_RN0,eventCount_noPolarity,cosplace,1,timebin,fixed,,0.5,25,frame,modified,1865,2575,0.0241,0.0012,25.05,1,1
R0_FA0,R0_FN0,eventCount,netvlad,1,timebin,fixed,,0.5,25,frame,modified,1779,2095,0.0663,0.0048,25.13,1,1
R0_RS0,R0_RN0,e2vid,mixvpr,1,timebin,fixed,,0.5,25,patch,modified,1865,2053,0.1083,0.0134,0.34,2,3
R0_FN0,R0_FS0,eventCount,netvlad,1,timebin,fixed,,0.5,25,frame,modified,1821,1779,0.1582,0.046,21.1,1,1
R0_RS0,R0_RN0,eventCount_noPolarity,cosplace,1,timebin,fixed,,0.5,25,frame,modified,1865,2053,0.0992,0.0631,21.15,1,1
R0_FA0,R0_FS0,timeSurface,cosplace,1,timebin,fixed,,0.5,25,frame,modified,1821,2095,0.5167,0.299,25.32,1,1
R0_RA0,R0_RN0,eventCount,netvlad,1,timebin,fixed,,0.5,25,frame,modified,1865,2575,0.0327,0.0011,40.26,1,1
R0_FA0,R0_FN0,timeSurface,cosplace,1,timebin,fixed,,0.5,25,frame,modified,1779,2095,0.0922,0.0179,19.81,1,1
R0_FN0,R0_FS0,timeSurface,cosplace,1,timebin,fixed,,0.5,25,frame,modified,1821,1779,0.1917,0.0493,14.16,1,1
R0_RS0,R0_RN0,eventCount,netvlad,1,timebin,fixed,,0.5,25,frame,modified,1865,2053,0.0901,0.0097,26.77,1,1
R0_RA0,R0_RN0,eventCount,megaloc,1,timebin,fixed,,0.5,25,frame,modified,1865,2575,0.1421,0.0155,182.13,1,1
R0_RA0,R0_RN0,timeSurface,cosplace,1,timebin,fixed,,0.5,25,frame,modified,1865,2575,0.0365,0.0023,30.06,1,1
R0_FA0,R0_FS0,eventCount_noPolarity,netvlad,1,timebin,fixed,,0.5,25,frame,modified,1821,2095,0.3866,0.1744,27.31,1,1
R0_RS0,R0_RN0,timeSurface,cosplace,1,timebin,fixed,,0.5,25,frame,modified,1865,2053,0.0525,0.0041,22.15,1,1
R0_FA0,R0_FS0,timeSurface,megaloc,1,timebin,fixed,,0.5,25,patch,modified,1821,2095,0.7617,0.5175,234.55,2,3
R0_FA0,R0_FN0,eventCount_noPolarity,netvlad,1,timebin,fixed,,0.5,25,frame,modified,1779,2095,0.0601,0.0036,27.56,1,1
R0_FA0,R0_FS0,e2vid,cosplace,1,timebin,fixed,,0.5,25,frame,modified,1821,2095,0.6612,0.382,23.81,1,1
R0_FN0,R0_FS0,eventCount_noPolarity,netvlad,1,timebin,fixed,,0.5,25,frame,modified,1821,1779,0.1477,0.0355,21.09,1,1
R0_FA0,R0_FN0,e2vid,cosplace,1,timebin,fixed,,0.5,25,frame,modified,1779,2095,0.0169,0.0003,16.49,1,1
R0_FN0,R0_FS0,e2vid,cosplace,1,timebin,fixed,,0.5,25,frame,modified,1821,1779,0.1834,0.044,14.18,1,1
