ref_seq,qry_seq,reconstruction_name,vpr_method,recall_at_1,auc,seq_len,time_res,time_bin_type,positive_dist_thresh,patch_or_frame,seq_match_type,runtime
sunset1,night,e2vid,megaloc,0.033566949465142014,,1,0.25,0,25,frame,modified,0.1606612205505371
sunset1,night,e2vid,anyloc-urban,0.02434526005164146,,1,0.25,0,25,frame,modified,0.16851353645324707
sunset1,sunrise,eventCount_noPolarity,netvlad,0.3281539030706622,,1,0.25,0,25,frame,modified,0.28739500045776367
sunset1,sunrise,eventCount_noPolarity,megaloc,0.6330003699593045,,1,0.25,0,25,frame,modified,0.1324293613433838
sunset1,sunrise,eventCount_noPolarity,mixvpr,0.5678875323714392,,1,0.25,0,25,frame,modified,0.13864898681640625
sunset1,sunrise,eventCount_noPolarity,cosplace,0.2981871994080651,,1,0.25,0,25,frame,modified,0.1524653434753418
sunset1,sunrise,eventCount_noPolarity,anyloc-urban,0.40066592674805773,,1,0.25,0,25,frame,modified,0.258699893951416
sunset1,night,e2vid,netvlad,0.018443378827001106,,1,0.25,0,25,frame,modified,0.14731502532958984
sunset1,night,e2vid,netvlad,0.023013941137419783,,1,0.15,0,25,frame,modified,0.4436070919036865
sunset1,sunrise,timeSurface,netvlad,0.43137254901960786,,1,0.25,0,25,frame,modified,0.11046981811523438
sunset1,sunrise,eventCount_noPolarity,cosplace,0.31972185234502143,,1,0.1,0,25,frame,modified,1.018298625946045
sunset1,sunrise,eventCount_noPolarity,anyloc-urban,0.4282332050902634,,1,0.2,0,25,frame,modified,0.29865241050720215
sunset1,sunrise,eventCount_noPolarity,megaloc,0.657591003255401,,1,0.2,0,25,frame,modified,0.17052674293518066
sunset1,sunrise,eventCount_noPolarity,netvlad,0.3462562888428529,,1,0.2,0,25,frame,modified,0.2610354423522949
sunset1,night,e2vid,cosplace,0.018443378827001106,,1,0.25,0,25,frame,modified,0.17308759689331055
sunset1,night,e2vid,anyloc-urban,0.02508114488049572,,1,0.2,0,25,frame,modified,0.13674497604370117
sunset1,night,e2vid,netvlad,0.025223099048602406,,1,0.05,0,25,frame,modified,3.0610275268554688
sunset1,night,e2vid,megaloc,0.035998819710829154,,1,0.2,0,25,frame,modified,0.22513055801391602
sunset1,night,e2vid,netvlad,0.01416347005016229,,1,0.2,0,25,frame,modified,0.351576566696167
sunset1,sunrise,eventCount_noPolarity,cosplace,0.292394199467298,,1,0.2,0,25,frame,modified,0.25438523292541504
sunset1,sunrise,eventCount_noPolarity,anyloc-urban,0.4400798934753662,,1,0.15,0,25,frame,modified,0.475085973739624
sunset1,sunrise,eventCount_noPolarity,netvlad,0.38087136622531254,,1,0.05,0,25,frame,modified,2.815824270248413
sunset1,sunrise,eventCount_noPolarity,netvlad,0.3457612072791833,,1,0.15,0,25,frame,modified,0.47718262672424316
sunset1,night,e2vid,cosplace,0.02213042195337858,,1,0.2,0,25,frame,modified,0.30899572372436523
sunset1,sunrise,timeSurface,megaloc,0.6870144284128746,,1,0.25,0,25,frame,modified,0.1336817741394043
sunset1,sunrise,eventCount_noPolarity,netvlad,0.35804113034472557,,1,0.1,0,25,frame,modified,1.039571762084961
sunset1,night,e2vid,cosplace,0.014898952647883169,,1,0.1,0,25,frame,modified,1.3406343460083008
sunset1,sunrise,eventCount_noPolarity,cosplace,0.30892143808255657,,1,0.15,0,25,frame,modified,0.49465060234069824
sunset1,night,eventCount,megaloc,0.0900036886757654,,1,0.25,0,25,frame,modified,0.09820246696472168
sunset1,night,e2vid,netvlad,0.015341495795840094,,1,0.1,0,25,frame,modified,1.1421616077423096
sunset1,night,e2vid,megaloc,0.025226820092940916,,1,0.15,0,25,frame,modified,0.44280123710632324
sunset1,sunrise,eventCount_noPolarity,cosplace,0.33441822620016276,,1,0.05,0,25,frame,modified,3.4528932571411133
sunset1,night,e2vid,cosplace,0.013719849524231024,,1,0.15,0,25,frame,modified,0.5730595588684082
sunset1,night,e2vid,anyloc-urban,0.024784244301836688,,1,0.15,0,25,frame,modified,0.3399510383605957
sunset1,night,eventCount,netvlad,0.04735560964815225,,1,0.15,0,25,frame,modified,0.2868154048919678
sunset1,sunrise,eventCount_noPolarity,megaloc,0.6646693297825123,,1,0.15,0,25,frame,modified,0.36069750785827637
sunset1,night,e2vid,mixvpr,0.02434526005164146,,1,0.25,0,25,frame,modified,0.14980220794677734
sunset1,sunrise,eventCount_noPolarity,anyloc-urban,0.4602751886373724,,1,0.1,0,25,frame,modified,1.088303565979004
sunset1,night,e2vid,cosplace,0.012685301275905303,,1,0.05,0,25,frame,modified,3.5420069694519043
sunset1,night,e2vid,mixvpr,0.017700420384984143,,1,0.05,0,25,frame,modified,1.871617078781128
sunset1,night,eventCount,anyloc-urban,0.056436739210623386,,1,0.25,0,25,frame,modified,0.11438846588134766
sunset1,sunrise,eventCount_noPolarity,megaloc,0.6792424914928243,,1,0.1,0,25,frame,modified,0.8945763111114502
sunset1,night,e2vid,mixvpr,0.020655060489820007,,1,0.2,0,25,frame,modified,0.29220032691955566
sunset1,night,e2vid,anyloc-urban,0.02330727245906476,,1,0.1,0,25,frame,modified,0.9669160842895508
sunset1,sunset2,e2vid,netvlad,0.8562921794362842,,1,0.25,0,25,frame,modified,0.13424348831176758
sunset1,sunrise,timeSurface,cosplace,0.4010358860525342,,1,0.25,0,25,frame,modified,0.1091923713684082
