ref_seq,qry_seq,reconstruction_name,vpr_method,seq_len,bin_type,binning_strategy,events_per_bin,time_res,positive_dist_thresh,patch_or_frame,seq_match_type,num_qry_frames,num_ref_frames,recall_at_1,auc,runtime
sunset1,night,eventCount,cosplace,1,countbin,fixed,50000,,25,frame,modified,7442,10735,0.0153,,86.48
sunset1,morning,eventCount,cosplace,1,countbin,fixed,50000,,25,frame,modified,7434,10735,0.2719,,82.38
sunset1,night,eventCount,mixvpr,1,countbin,fixed,50000,,25,frame,modified,7442,10735,0.0422,,166.13
sunset1,night,eventCount,netvlad,1,countbin,fixed,50000,,25,frame,modified,7442,10735,0.0285,,59.32
sunset1,sunrise,eventCount,cosplace,1,countbin,fixed,50000,,25,frame,modified,9896,10735,0.4300,,104.96
sunset1,night,eventCount,megaloc,1,countbin,fixed,50000,,25,frame,modified,7442,10735,0.0653,,235.41
sunset1,morning,eventCount,netvlad,1,countbin,fixed,50000,,25,frame,modified,7434,10735,0.3426,,70.27
sunset1,morning,eventCount,mixvpr,1,countbin,fixed,50000,,25,frame,modified,7434,10735,0.6328,,93.67
sunset1,sunset2,eventCount,cosplace,1,countbin,fixed,50000,,25,frame,modified,14152,10735,0.5752,,135.58
sunset1,sunrise,eventCount,netvlad,1,countbin,fixed,50000,,25,frame,modified,9896,10735,0.4752,,114.84
sunset1,sunrise,eventCount,mixvpr,1,countbin,fixed,50000,,25,frame,modified,9896,10735,0.7776,,121.03
sunset1,morning,eventCount,megaloc,1,countbin,fixed,50000,,25,frame,modified,7434,10735,0.6676,,224.46
sunset1,daytime,eventCount,cosplace,1,countbin,fixed,50000,,25,frame,modified,13549,10735,0.1465,,135.23
sunset1,sunset2,eventCount,netvlad,1,countbin,fixed,50000,,25,frame,modified,14152,10735,0.7135,,153.36
sunset1,sunset2,eventCount,mixvpr,1,countbin,fixed,50000,,25,frame,modified,14152,10735,0.9075,,156.34
sunset1,night,eventCount_noPolarity,cosplace,1,countbin,fixed,50000,,25,frame,modified,7442,10735,0.0112,,101.00
sunset1,daytime,eventCount,netvlad,1,countbin,fixed,50000,,25,frame,modified,13549,10735,0.2188,,109.87
sunset1,morning,eventCount_noPolarity,cosplace,1,countbin,fixed,50000,,25,frame,modified,7434,10735,0.2497,,83.60
sunset1,daytime,eventCount,mixvpr,1,countbin,fixed,50000,,25,frame,modified,13549,10735,0.3969,,116.97
sunset1,night,eventCount_noPolarity,netvlad,1,countbin,fixed,50000,,25,frame,modified,7442,10735,0.0138,,83.23
sunset1,sunrise,eventCount,megaloc,1,countbin,fixed,50000,,25,frame,modified,9896,10735,0.7387,,265.48
sunset1,night,eventCount_noPolarity,mixvpr,1,countbin,fixed,50000,,25,frame,modified,7442,10735,0.0343,,78.52
sunset1,sunrise,eventCount_noPolarity,cosplace,1,countbin,fixed,50000,,25,frame,modified,9896,10735,0.3669,,105.07
sunset1,morning,eventCount_noPolarity,netvlad,1,countbin,fixed,50000,,25,frame,modified,7434,10735,0.2858,,70.03
sunset1,morning,eventCount_noPolarity,mixvpr,1,countbin,fixed,50000,,25,frame,modified,7434,10735,0.5241,,71.64
sunset1,sunset2,eventCount_noPolarity,cosplace,1,countbin,fixed,50000,,25,frame,modified,14152,10735,0.4718,,139.41
sunset1,sunrise,eventCount_noPolarity,netvlad,1,countbin,fixed,50000,,25,frame,modified,9896,10735,0.4074,,122.43
sunset1,sunrise,eventCount_noPolarity,mixvpr,1,countbin,fixed,50000,,25,frame,modified,9896,10735,0.6845,,105.68
