ref_seq,qry_seq,reconstruction_name,vpr_method,seq_len,bin_type,binning_strategy,events_per_bin,time_res,positive_dist_thresh,patch_or_frame,seq_match_type,num_qry_frames,num_ref_frames,recall_at_1,auc,runtime
sunset1,night,eventCount,mixvpr,1,timebin,fixed,,0.05,25,frame,modified,11916,12786,0.0504,,115.86
sunset1,morning,eventCount,mixvpr,1,timebin,fixed,,0.05,25,frame,modified,11833,12786,0.6361,,110.62
sunset1,night,eventCount,netvlad,1,timebin,fixed,,0.05,25,frame,modified,11916,12786,0.0326,,109.04
sunset1,night,eventCount,cosplace,1,timebin,fixed,,0.05,25,frame,modified,11916,12786,0.0228,,139.45
sunset1,morning,eventCount,netvlad,1,timebin,fixed,,0.05,25,frame,modified,11833,12786,0.2709,,101.72
sunset1,sunrise,eventCount,mixvpr,1,timebin,fixed,,0.05,25,frame,modified,12056,12786,0.7885,,123.44
sunset1,night,eventCount,megaloc,1,timebin,fixed,,0.05,25,frame,modified,11916,12786,0.0953,,358.18
sunset1,morning,eventCount,cosplace,1,timebin,fixed,,0.05,25,frame,modified,11833,12786,0.2449,,130.75
sunset1,sunset2,eventCount,mixvpr,1,timebin,fixed,,0.05,25,frame,modified,11316,12786,0.9707,,111.58
sunset1,sunrise,eventCount,netvlad,1,timebin,fixed,,0.05,25,frame,modified,12056,12786,0.4574,,141.37
sunset1,sunrise,eventCount,cosplace,1,timebin,fixed,,0.05,25,frame,modified,12056,12786,0.3879,,128.72
sunset1,daytime,eventCount,mixvpr,1,timebin,fixed,,0.05,25,frame,modified,12808,12786,0.4478,,133.82
sunset1,sunset2,eventCount,netvlad,1,timebin,fixed,,0.05,25,frame,modified,11316,12786,0.7918,,133.11
sunset1,sunset2,eventCount,cosplace,1,timebin,fixed,,0.05,25,frame,modified,11316,12786,0.5923,,138.26
sunset1,morning,eventCount,megaloc,1,timebin,fixed,,0.05,25,frame,modified,11833,12786,0.6391,,355.02
sunset1,daytime,eventCount,netvlad,1,timebin,fixed,,0.05,25,frame,modified,12808,12786,0.2630,,98.35
sunset1,night,eventCount_noPolarity,mixvpr,1,timebin,fixed,,0.05,25,frame,modified,11916,12786,0.0342,,127.58
sunset1,daytime,eventCount,cosplace,1,timebin,fixed,,0.05,25,frame,modified,12808,12786,0.1863,,134.08
sunset1,night,eventCount_noPolarity,netvlad,1,timebin,fixed,,0.05,25,frame,modified,11916,12786,0.0243,,118.01
sunset1,morning,eventCount_noPolarity,mixvpr,1,timebin,fixed,,0.05,25,frame,modified,11833,12786,0.5049,,115.96
sunset1,morning,eventCount_noPolarity,netvlad,1,timebin,fixed,,0.05,25,frame,modified,11833,12786,0.2194,,105.51
sunset1,night,eventCount_noPolarity,cosplace,1,timebin,fixed,,0.05,25,frame,modified,11916,12786,0.0133,,145.21
sunset1,sunrise,eventCount_noPolarity,mixvpr,1,timebin,fixed,,0.05,25,frame,modified,12056,12786,0.6823,,111.01
sunset1,sunrise,eventCount,megaloc,1,timebin,fixed,,0.05,25,frame,modified,12056,12786,0.7183,,349.60
sunset1,sunrise,eventCount_noPolarity,netvlad,1,timebin,fixed,,0.05,25,frame,modified,12056,12786,0.3931,,127.52
sunset1,sunset2,eventCount_noPolarity,mixvpr,1,timebin,fixed,,0.05,25,frame,modified,11316,12786,0.9316,,127.89
sunset1,morning,eventCount_noPolarity,cosplace,1,timebin,fixed,,0.05,25,frame,modified,11833,12786,0.1983,,138.04
sunset1,sunset2,eventCount_noPolarity,netvlad,1,timebin,fixed,,0.05,25,frame,modified,11316,12786,0.7178,,95.45
sunset1,daytime,eventCount_noPolarity,mixvpr,1,timebin,fixed,,0.05,25,frame,modified,12808,12786,0.3776,,121.10
sunset1,sunrise,eventCount_noPolarity,cosplace,1,timebin,fixed,,0.05,25,frame,modified,12056,12786,0.3487,,126.04
sunset1,daytime,eventCount_noPolarity,netvlad,1,timebin,fixed,,0.05,25,frame,modified,12808,12786,0.1874,,89.71
sunset1,sunset2,eventCount_noPolarity,cosplace,1,timebin,fixed,,0.05,25,frame,modified,11316,12786,0.5295,,118.37
sunset1,night,timeSurface,mixvpr,1,timebin,fixed,,0.05,25,frame,modified,11916,12786,0.0549,,124.50
sunset1,sunset2,eventCount,megaloc,1,timebin,fixed,,0.05,25,frame,modified,11316,12786,0.9685,,334.07
sunset1,night,timeSurface,netvlad,1,timebin,fixed,,0.05,25,frame,modified,11916,12786,0.0305,,135.91
sunset1,morning,timeSurface,mixvpr,1,timebin,fixed,,0.05,25,frame,modified,11833,12786,0.6588,,113.78
sunset1,daytime,eventCount_noPolarity,cosplace,1,timebin,fixed,,0.05,25,frame,modified,12808,12786,0.1546,,128.53
sunset1,morning,timeSurface,netvlad,1,timebin,fixed,,0.05,25,frame,modified,11833,12786,0.3103,,110.92
sunset1,sunrise,timeSurface,mixvpr,1,timebin,fixed,,0.05,25,frame,modified,12056,12786,0.8003,,111.55
sunset1,night,timeSurface,cosplace,1,timebin,fixed,,0.05,25,frame,modified,11916,12786,0.0185,,130.82
sunset1,sunrise,timeSurface,netvlad,1,timebin,fixed,,0.05,25,frame,modified,12056,12786,0.4843,,110.75
sunset1,sunset2,timeSurface,mixvpr,1,timebin,fixed,,0.05,25,frame,modified,11316,12786,0.9725,,132.09
sunset1,sunset2,timeSurface,netvlad,1,timebin,fixed,,0.05,25,frame,modified,11316,12786,0.8025,,96.91
sunset1,morning,timeSurface,cosplace,1,timebin,fixed,,0.05,25,frame,modified,11833,12786,0.3054,,135.46
sunset1,daytime,eventCount,megaloc,1,timebin,fixed,,0.05,25,frame,modified,12808,12786,0.5785,,362.47
sunset1,daytime,timeSurface,netvlad,1,timebin,fixed,,0.05,25,frame,modified,12808,12786,0.2611,,91.08
sunset1,daytime,timeSurface,mixvpr,1,timebin,fixed,,0.05,25,frame,modified,12808,12786,0.4762,,123.72
sunset1,sunrise,timeSurface,cosplace,1,timebin,fixed,,0.05,25,frame,modified,12056,12786,0.4120,,136.09
sunset1,night,e2vid,netvlad,1,timebin,fixed,,0.05,25,frame,modified,11916,12786,0.0222,,136.23
sunset1,night,e2vid,mixvpr,1,timebin,fixed,,0.05,25,frame,modified,11916,12786,0.0231,,122.41
sunset1,sunset2,timeSurface,cosplace,1,timebin,fixed,,0.05,25,frame,modified,11316,12786,0.6132,,126.50
sunset1,morning,e2vid,netvlad,1,timebin,fixed,,0.05,25,frame,modified,11833,12786,0.5413,,105.99
