ref_seq,qry_seq,reconstruction_name,vpr_method,seq_len,bin_type,binning_strategy,events_per_bin,time_res,positive_dist_thresh,patch_or_frame,seq_match_type,num_qry_frames,num_ref_frames,recall_at_1,auc,runtime
sunset1,night,eventCount,netvlad,1,timebin,adaptive,,,25,frame,modified,3560,3781,0.0475,,41.84
sunset1,night,eventCount,mixvpr,1,timebin,adaptive,,,25,frame,modified,3560,3781,0.0691,,51.14
sunset1,night,eventCount,cosplace,1,timebin,adaptive,,,25,frame,modified,3560,3781,0.0208,,53.70
sunset1,morning,eventCount,netvlad,1,timebin,adaptive,,,25,frame,modified,3535,3781,0.2993,,30.30
sunset1,morning,eventCount,mixvpr,1,timebin,adaptive,,,25,frame,modified,3535,3781,0.6303,,32.39
sunset1,morning,eventCount,cosplace,1,timebin,adaptive,,,25,frame,modified,3535,3781,0.2767,,34.53
sunset1,sunrise,eventCount,netvlad,1,timebin,adaptive,,,25,frame,modified,3616,3781,0.4115,,30.48
sunset1,night,eventCount,megaloc,1,timebin,adaptive,,,25,frame,modified,3560,3781,0.1112,,109.22
sunset1,sunrise,eventCount,mixvpr,1,timebin,adaptive,,,25,frame,modified,3616,3781,0.7154,,32.60
sunset1,sunrise,eventCount,cosplace,1,timebin,adaptive,,,25,frame,modified,3616,3781,0.3985,,35.12
sunset1,sunset2,eventCount,netvlad,1,timebin,adaptive,,,25,frame,modified,3387,3781,0.8043,,29.18
sunset1,sunset2,eventCount,mixvpr,1,timebin,adaptive,,,25,frame,modified,3387,3781,0.9542,,32.14
sunset1,sunset2,eventCount,cosplace,1,timebin,adaptive,,,25,frame,modified,3387,3781,0.6360,,33.61
sunset1,daytime,eventCount,netvlad,1,timebin,adaptive,,,25,frame,modified,3801,3781,0.2694,,31.25
sunset1,daytime,eventCount,mixvpr,1,timebin,adaptive,,,25,frame,modified,3801,3781,0.4312,,34.08
sunset1,daytime,eventCount,cosplace,1,timebin,adaptive,,,25,frame,modified,3801,3781,0.2060,,37.38
sunset1,morning,eventCount,megaloc,1,timebin,adaptive,,,25,frame,modified,3535,3781,0.6608,,95.22
sunset1,night,eventCount_noPolarity,netvlad,1,timebin,adaptive,,,25,frame,modified,3560,3781,0.0287,,31.38
sunset1,night,eventCount_noPolarity,mixvpr,1,timebin,adaptive,,,25,frame,modified,3560,3781,0.0576,,33.59
sunset1,morning,eventCount_noPolarity,netvlad,1,timebin,adaptive,,,25,frame,modified,3535,3781,0.2351,,33.49
sunset1,night,eventCount_noPolarity,cosplace,1,timebin,adaptive,,,25,frame,modified,3560,3781,0.0211,,44.33
sunset1,morning,eventCount_noPolarity,mixvpr,1,timebin,adaptive,,,25,frame,modified,3535,3781,0.4950,,34.51
sunset1,sunrise,eventCount_noPolarity,netvlad,1,timebin,adaptive,,,25,frame,modified,3616,3781,0.3581,,29.57
sunset1,morning,eventCount_noPolarity,cosplace,1,timebin,adaptive,,,25,frame,modified,3535,3781,0.2356,,35.01
sunset1,sunrise,eventCount_noPolarity,mixvpr,1,timebin,adaptive,,,25,frame,modified,3616,3781,0.6131,,33.56
sunset1,sunset2,eventCount_noPolarity,netvlad,1,timebin,adaptive,,,25,frame,modified,3387,3781,0.6983,,28.50
sunset1,sunrise,eventCount,megaloc,1,timebin,adaptive,,,25,frame,modified,3616,3781,0.7182,,96.49
sunset1,sunrise,eventCount_noPolarity,cosplace,1,timebin,adaptive,,,25,frame,modified,3616,3781,0.3014,,35.10
sunset1,sunset2,eventCount_noPolarity,mixvpr,1,timebin,adaptive,,,25,frame,modified,3387,3781,0.9026,,31.87
sunset1,daytime,eventCount_noPolarity,netvlad,1,timebin,adaptive,,,25,frame,modified,3801,3781,0.1844,,30.96
sunset1,sunset2,eventCount_noPolarity,cosplace,1,timebin,adaptive,,,25,frame,modified,3387,3781,0.5807,,33.08
sunset1,daytime,eventCount_noPolarity,mixvpr,1,timebin,adaptive,,,25,frame,modified,3801,3781,0.3341,,34.19
sunset1,night,timeSurface,netvlad,1,timebin,adaptive,,,25,frame,modified,3560,3781,0.0469,,31.68
sunset1,daytime,eventCount_noPolarity,cosplace,1,timebin,adaptive,,,25,frame,modified,3801,3781,0.1565,,36.98
sunset1,night,timeSurface,mixvpr,1,timebin,adaptive,,,25,frame,modified,3560,3781,0.0829,,35.26
sunset1,sunset2,eventCount,megaloc,1,timebin,adaptive,,,25,frame,modified,3387,3781,0.9634,,93.31
sunset1,morning,timeSurface,netvlad,1,timebin,adaptive,,,25,frame,modified,3535,3781,0.3338,,29.62
sunset1,night,timeSurface,cosplace,1,timebin,adaptive,,,25,frame,modified,3560,3781,0.0239,,37.89
sunset1,morning,timeSurface,mixvpr,1,timebin,adaptive,,,25,frame,modified,3535,3781,0.6843,,33.68
sunset1,sunrise,timeSurface,netvlad,1,timebin,adaptive,,,25,frame,modified,3616,3781,0.4524,,29.42
sunset1,sunset2,timeSurface,netvlad,1,timebin,adaptive,,,25,frame,modified,3387,3781,0.7927,,28.34
sunset1,morning,timeSurface,cosplace,1,timebin,adaptive,,,25,frame,modified,3535,3781,0.3341,,35.23
sunset1,sunrise,timeSurface,mixvpr,1,timebin,adaptive,,,25,frame,modified,3616,3781,0.7804,,32.84
sunset1,daytime,timeSurface,netvlad,1,timebin,adaptive,,,25,frame,modified,3801,3781,0.2802,,30.80
sunset1,sunset2,timeSurface,mixvpr,1,timebin,adaptive,,,25,frame,modified,3387,3781,0.9660,,31.33
sunset1,sunrise,timeSurface,cosplace,1,timebin,adaptive,,,25,frame,modified,3616,3781,0.4220,,35.02
sunset1,daytime,eventCount,megaloc,1,timebin,adaptive,,,25,frame,modified,3801,3781,0.5238,,99.82
sunset1,night,e2vid,netvlad,1,timebin,adaptive,,,25,frame,modified,3560,3781,0.0169,,30.53
sunset1,daytime,timeSurface,mixvpr,1,timebin,adaptive,,,25,frame,modified,3801,3781,0.4972,,34.86
sunset1,sunset2,timeSurface,cosplace,1,timebin,adaptive,,,25,frame,modified,3387,3781,0.6808,,34.48
sunset1,morning,e2vid,netvlad,1,timebin,adaptive,,,25,frame,modified,3535,3781,0.4659,,29.67
sunset1,night,e2vid,mixvpr,1,timebin,adaptive,,,25,frame,modified,3560,3781,0.0208,,35.23
sunset1,daytime,timeSurface,cosplace,1,timebin,adaptive,,,25,frame,modified,3801,3781,0.2365,,39.21
sunset1,sunrise,e2vid,netvlad,1,timebin,adaptive,,,25,frame,modified,3616,3781,0.5835,,30.36
sunset1,night,eventCount_noPolarity,megaloc,1,timebin,adaptive,,,25,frame,modified,3560,3781,0.0888,,95.81
sunset1,morning,e2vid,mixvpr,1,timebin,adaptive,,,25,frame,modified,3535,3781,0.7496,,32.39
sunset1,night,e2vid,cosplace,1,timebin,adaptive,,,25,frame,modified,3560,3781,0.0216,,37.53
sunset1,sunset2,e2vid,netvlad,1,timebin,adaptive,,,25,frame,modified,3387,3781,0.8961,,28.23
sunset1,sunrise,e2vid,mixvpr,1,timebin,adaptive,,,25,frame,modified,3616,3781,0.8509,,32.90
sunset1,morning,e2vid,cosplace,1,timebin,adaptive,,,25,frame,modified,3535,3781,0.4314,,35.65
sunset1,daytime,e2vid,netvlad,1,timebin,adaptive,,,25,frame,modified,3801,3781,0.3489,,29.99
sunset1,sunset2,e2vid,mixvpr,1,timebin,adaptive,,,25,frame,modified,3387,3781,0.9870,,31.58
sunset1,sunrise,e2vid,cosplace,1,timebin,adaptive,,,25,frame,modified,3616,3781,0.6463,,36.63
sunset1,morning,eventCount_noPolarity,megaloc,1,timebin,adaptive,,,25,frame,modified,3535,3781,0.5567,,95.44
sunset1,daytime,e2vid,mixvpr,1,timebin,adaptive,,,25,frame,modified,3801,3781,0.6359,,33.86
sunset1,sunset2,e2vid,cosplace,1,timebin,adaptive,,,25,frame,modified,3387,3781,0.9173,,33.83
sunset1,daytime,e2vid,cosplace,1,timebin,adaptive,,,25,frame,modified,3801,3781,0.3410,,36.52
sunset1,sunrise,eventCount_noPolarity,megaloc,1,timebin,adaptive,,,25,frame,modified,3616,3781,0.6515,,96.57
sunset1,sunset2,eventCount_noPolarity,megaloc,1,timebin,adaptive,,,25,frame,modified,3387,3781,0.9513,,94.20
sunset1,daytime,eventCount_noPolarity,megaloc,1,timebin,adaptive,,,25,frame,modified,3801,3781,0.4467,,102.00
sunset1,night,timeSurface,megaloc,1,timebin,adaptive,,,25,frame,modified,3560,3781,0.0761,,96.85
sunset1,morning,timeSurface,megaloc,1,timebin,adaptive,,,25,frame,modified,3535,3781,0.6246,,96.57
sunset1,sunrise,timeSurface,megaloc,1,timebin,adaptive,,,25,frame,modified,3616,3781,0.7146,,96.91
sunset1,sunset2,timeSurface,megaloc,1,timebin,adaptive,,,25,frame,modified,3387,3781,0.9548,,95.58
sunset1,daytime,timeSurface,megaloc,1,timebin,adaptive,,,25,frame,modified,3801,3781,0.5762,,102.08
sunset1,night,e2vid,megaloc,1,timebin,adaptive,,,25,frame,modified,3560,3781,0.0331,,96.95
sunset1,morning,e2vid,megaloc,1,timebin,adaptive,,,25,frame,modified,3535,3781,0.6877,,96.47
sunset1,sunrise,e2vid,megaloc,1,timebin,adaptive,,,25,frame,modified,3616,3781,0.8009,,97.56
sunset1,sunset2,e2vid,megaloc,1,timebin,adaptive,,,25,frame,modified,3387,3781,0.9900,,94.77
sunset1,daytime,e2vid,megaloc,1,timebin,adaptive,,,25,frame,modified,3801,3781,0.6917,,100.70
sunset1,night,eventCount,netvlad,1,timebin,adaptive,,,25,patch,modified,3560,3781,0.0553,,106.82
