ref_seq,qry_seq,reconstruction_name,vpr_method,seq_len,bin_type,binning_strategy,events_per_bin,time_res,positive_dist_thresh,patch_or_frame,seq_match_type,num_qry_frames,num_ref_frames,recall_at_1,auc,runtime
R0_FA0,R0_FS0,eventCount,mixvpr,1,timebin,adaptive,,,25,frame,modified,3477,3970,0.6080,,60.71
R0_FA0,R0_FN0,eventCount,mixvpr,1,timebin,adaptive,,,25,frame,modified,3402,3970,0.1164,,45.48
R0_FA0,R0_FS0,eventCount,netvlad,1,timebin,adaptive,,,25,frame,modified,3477,3970,0.4095,,72.64
R0_FN0,R0_FS0,eventCount,mixvpr,1,timebin,adaptive,,,25,frame,modified,3477,3402,0.2378,,38.20
R0_FA0,R0_FN0,eventCount,netvlad,1,timebin,adaptive,,,25,frame,modified,3402,3970,0.0776,,62.81
R0_RA0,R0_RN0,eventCount,mixvpr,1,timebin,adaptive,,,25,frame,modified,3535,4812,0.0818,,67.92
R0_FN0,R0_FS0,eventCount,netvlad,1,timebin,adaptive,,,25,frame,modified,3477,3402,0.1593,,49.75
R0_FA0,R0_FS0,eventCount,cosplace,1,timebin,adaptive,,,25,frame,modified,3477,3970,0.4420,,73.69
R0_RS0,R0_RN0,eventCount,mixvpr,1,timebin,adaptive,,,25,frame,modified,3535,3884,0.1539,,57.21
R0_FA0,R0_FN0,eventCount,cosplace,1,timebin,adaptive,,,25,frame,modified,3402,3970,0.0550,,46.68
R0_RA0,R0_RN0,eventCount,netvlad,1,timebin,adaptive,,,25,frame,modified,3535,4812,0.0461,,81.42
R0_FN0,R0_FS0,eventCount,cosplace,1,timebin,adaptive,,,25,frame,modified,3477,3402,0.2094,,43.48
R0_FA0,R0_FS0,eventCount_noPolarity,mixvpr,1,timebin,adaptive,,,25,frame,modified,3477,3970,0.5332,,65.03
R0_RS0,R0_RN0,eventCount,netvlad,1,timebin,adaptive,,,25,frame,modified,3535,3884,0.0922,,61.02
R0_FA0,R0_FN0,eventCount_noPolarity,mixvpr,1,timebin,adaptive,,,25,frame,modified,3402,3970,0.1214,,43.91
R0_RA0,R0_RN0,eventCount,cosplace,1,timebin,adaptive,,,25,frame,modified,3535,4812,0.0458,,76.42
R0_FN0,R0_FS0,eventCount_noPolarity,mixvpr,1,timebin,adaptive,,,25,frame,modified,3477,3402,0.2468,,39.29
R0_FA0,R0_FS0,eventCount_noPolarity,netvlad,1,timebin,adaptive,,,25,frame,modified,3477,3970,0.4297,,60.30
R0_RS0,R0_RN0,eventCount,cosplace,1,timebin,adaptive,,,25,frame,modified,3535,3884,0.0603,,55.50
R0_FA0,R0_FS0,eventCount,mixvpr,1,timebin,adaptive,,,25,patch,modified,3477,3970,0.6940,,195.05
R0_FA0,R0_FS0,eventCount,megaloc,1,timebin,adaptive,,,25,frame,modified,3477,3970,0.7527,,323.46
R0_RA0,R0_RN0,eventCount_noPolarity,mixvpr,1,timebin,adaptive,,,25,frame,modified,3535,4812,0.0888,,64.02
R0_FA0,R0_FN0,eventCount_noPolarity,netvlad,1,timebin,adaptive,,,25,frame,modified,3402,3970,0.0758,,64.07
R0_FA0,R0_FS0,eventCount_noPolarity,cosplace,1,timebin,adaptive,,,25,frame,modified,3477,3970,0.3529,,61.65
R0_RS0,R0_RN0,eventCount_noPolarity,mixvpr,1,timebin,adaptive,,,25,frame,modified,3535,3884,0.1485,,54.33
R0_FN0,R0_FS0,eventCount_noPolarity,netvlad,1,timebin,adaptive,,,25,frame,modified,3477,3402,0.1452,,51.18
R0_FA0,R0_FN0,eventCount_noPolarity,cosplace,1,timebin,adaptive,,,25,frame,modified,3402,3970,0.0323,,46.80
R0_FA0,R0_FS0,timeSurface,mixvpr,1,timebin,adaptive,,,25,frame,modified,3477,3970,0.7072,,59.50
R0_RA0,R0_RN0,eventCount_noPolarity,netvlad,1,timebin,adaptive,,,25,frame,modified,3535,4812,0.0603,,67.54
R0_FN0,R0_FS0,eventCount_noPolarity,cosplace,1,timebin,adaptive,,,25,frame,modified,3477,3402,0.1556,,44.64
R0_FA0,R0_FN0,timeSurface,mixvpr,1,timebin,adaptive,,,25,frame,modified,3402,3970,0.0814,,42.92
R0_FA0,R0_FN0,eventCount,mixvpr,1,timebin,adaptive,,,25,patch,modified,3402,3970,0.1258,,194.17
R0_RS0,R0_RN0,eventCount_noPolarity,netvlad,1,timebin,adaptive,,,25,frame,modified,3535,3884,0.0863,,57.37
R0_RA0,R0_RN0,eventCount_noPolarity,cosplace,1,timebin,adaptive,,,25,frame,modified,3535,4812,0.0283,,64.24
R0_FN0,R0_FS0,timeSurface,mixvpr,1,timebin,adaptive,,,25,frame,modified,3477,3402,0.2542,,37.40
R0_RS0,R0_RN0,eventCount_noPolarity,cosplace,1,timebin,adaptive,,,25,frame,modified,3535,3884,0.0373,,60.82
R0_FA0,R0_FS0,timeSurface,netvlad,1,timebin,adaptive,,,25,frame,modified,3477,3970,0.4886,,69.77
R0_RA0,R0_RN0,timeSurface,mixvpr,1,timebin,adaptive,,,25,frame,modified,3535,4812,0.0631,,66.77
R0_FA0,R0_FN0,eventCount,megaloc,1,timebin,adaptive,,,25,frame,modified,3402,3970,0.1964,,303.79
R0_FA0,R0_FS0,timeSurface,cosplace,1,timebin,adaptive,,,25,frame,modified,3477,3970,0.5470,,60.47
R0_RS0,R0_RN0,timeSurface,mixvpr,1,timebin,adaptive,,,25,frame,modified,3535,3884,0.1508,,54.99
R0_FA0,R0_FN0,timeSurface,netvlad,1,timebin,adaptive,,,25,frame,modified,3402,3970,0.0670,,58.89
R0_FN0,R0_FS0,eventCount,mixvpr,1,timebin,adaptive,,,25,patch,modified,3477,3402,0.2263,,178.01
R0_FA0,R0_FN0,timeSurface,cosplace,1,timebin,adaptive,,,25,frame,modified,3402,3970,0.0782,,61.38
R0_FN0,R0_FS0,timeSurface,netvlad,1,timebin,adaptive,,,25,frame,modified,3477,3402,0.1619,,51.85
R0_FA0,R0_FS0,e2vid,mixvpr,1,timebin,adaptive,,,25,frame,modified,3477,3970,0.7058,,67.25
R0_FN0,R0_FS0,timeSurface,cosplace,1,timebin,adaptive,,,25,frame,modified,3477,3402,0.1740,,42.45
R0_FA0,R0_FN0,e2vid,mixvpr,1,timebin,adaptive,,,25,frame,modified,3402,3970,0.0403,,44.18
R0_RA0,R0_RN0,timeSurface,netvlad,1,timebin,adaptive,,,25,frame,modified,3535,4812,0.0453,,67.38
R0_FA0,R0_FS0,eventCount,megaloc,1,timebin,adaptive,,,25,patch,modified,3477,3970,0.7426,,381.95
R0_FN0,R0_FS0,e2vid,mixvpr,1,timebin,adaptive,,,25,frame,modified,3477,3402,0.1835,,40.77
R0_RA0,R0_RN0,timeSurface,cosplace,1,timebin,adaptive,,,25,frame,modified,3535,4812,0.0337,,79.14
R0_RS0,R0_RN0,timeSurface,netvlad,1,timebin,adaptive,,,25,frame,modified,3535,3884,0.0826,,56.01
R0_RA0,R0_RN0,e2vid,mixvpr,1,timebin,adaptive,,,25,frame,modified,3535,4812,0.0447,,67.36
R0_FA0,R0_FS0,e2vid,netvlad,1,timebin,adaptive,,,25,frame,modified,3477,3970,0.5697,,65.02
R0_FA0,R0_FS0,eventCount,cosplace,1,timebin,adaptive,,,25,patch,modified,3477,3970,0.5165,,227.24
