feature_extractor,time_res,ensemble_reconstructions_s,ensemble_reconstructions_ms
cosplace,0.1,0.07373813507419469,73.73813507419469
cosplace,0.25,0.1119109623874392,111.9109623874392
cosplace,0.5,0.1734505130377831,173.4505130377831
cosplace,1.0,0.38302209478807653,383.0220947880765
megaloc,0.1,0.1377381350741947,137.7381350741947
megaloc,0.25,0.1759109623874392,175.91096238743918
megaloc,0.5,0.2374505130377831,237.4505130377831
megaloc,1.0,0.44702209478807653,447.0220947880765
mixvpr,0.1,0.0817381350741947,81.7381350741947
mixvpr,0.25,0.1199109623874392,119.9109623874392
mixvpr,0.5,0.1814505130377831,181.45051303778308
mixvpr,1.0,0.39102209478807654,391.0220947880765
netvlad,0.1,0.0657381350741947,65.7381350741947
netvlad,0.25,0.1039109623874392,103.9109623874392
netvlad,0.5,0.1654505130377831,165.4505130377831
netvlad,1.0,0.3750220947880766,375.0220947880766
